            angle	Ex=2.938(p:Menet,d:DCV)	Ex=2.938(p:KD,d:DCV)	Ex=2.938(p:Varmar,d:DCV)	Ex=2.938(p:BG,d:DCV(re))	Ex=2.938(p:Menet,d:LH)	Ex=2.938(p:Menet,d:DCV(nonREL))	Ex=2.938(p:Menet,d:AC)	Ex=2.938(p:Menet,d:Custom)	
            39.80	         0.894840	         0.862710	         0.868530	         0.691500	         1.257400	         0.940020	         0.899000	         1.014300	
            39.90	         0.880790	         0.850000	         0.856220	         0.680030	         1.239500	         0.925720	         0.884650	         0.998620	
            40.00	         0.866700	         0.837240	         0.843840	         0.668540	         1.221600	         0.911380	         0.870260	         0.982930	
            40.10	         0.852580	         0.824430	         0.831410	         0.657020	         1.203700	         0.896990	         0.855840	         0.967260	
            40.20	         0.838430	         0.811580	         0.818920	         0.645480	         1.185700	         0.882560	         0.841390	         0.951630	
            40.30	         0.824260	         0.798690	         0.806380	         0.633930	         1.167700	         0.868110	         0.826920	         0.936030	
            40.40	         0.810070	         0.785770	         0.793800	         0.622370	         1.149700	         0.853620	         0.812440	         0.920480	
            40.50	         0.795870	         0.772830	         0.781190	         0.610820	         1.131600	         0.839130	         0.797960	         0.904970	
            40.60	         0.781680	         0.759870	         0.768550	         0.599270	         1.113600	         0.824620	         0.783470	         0.889510	
            40.70	         0.767480	         0.746900	         0.755880	         0.587740	         1.095600	         0.810100	         0.768990	         0.874110	
            40.80	         0.753300	         0.733920	         0.743200	         0.576220	         1.077600	         0.795590	         0.754520	         0.858760	
            40.90	         0.739130	         0.720940	         0.730510	         0.564720	         1.059600	         0.781090	         0.740070	         0.843480	
            41.00	         0.724980	         0.707970	         0.717810	         0.553260	         1.041600	         0.766600	         0.725650	         0.828270	
            41.10	         0.710860	         0.695010	         0.705120	         0.541820	         1.023700	         0.752130	         0.711250	         0.813130	
            41.20	         0.696780	         0.682070	         0.692420	         0.530430	         1.005800	         0.737690	         0.696900	         0.798060	
            41.30	         0.682740	         0.669160	         0.679750	         0.519080	         0.987890	         0.723280	         0.682580	         0.783080	
            41.40	         0.668740	         0.656270	         0.667080	         0.507790	         0.970070	         0.708910	         0.668320	         0.768180	
            41.50	         0.654790	         0.643410	         0.654450	         0.496540	         0.952310	         0.694590	         0.654110	         0.753370	
            41.60	         0.640910	         0.630600	         0.641840	         0.485360	         0.934610	         0.680310	         0.639960	         0.738650	
            41.70	         0.627080	         0.617830	         0.629270	         0.474250	         0.916970	         0.666100	         0.625880	         0.724020	
            41.80	         0.613330	         0.605120	         0.616730	         0.463210	         0.899400	         0.651940	         0.611870	         0.709500	
            41.90	         0.599650	         0.592460	         0.604240	         0.452240	         0.881910	         0.637850	         0.597940	         0.695080	
            42.00	         0.586050	         0.579860	         0.591810	         0.441360	         0.864500	         0.623830	         0.584090	         0.680760	
            42.10	         0.572530	         0.567330	         0.579420	         0.430560	         0.847170	         0.609890	         0.570320	         0.666560	
            42.20	         0.559110	         0.554870	         0.567100	         0.419850	         0.829940	         0.596040	         0.556660	         0.652460	
            42.30	         0.545780	         0.542490	         0.554840	         0.409230	         0.812800	         0.582270	         0.543090	         0.638490	
            42.40	         0.532550	         0.530190	         0.542660	         0.398720	         0.795770	         0.568600	         0.529620	         0.624630	
            42.50	         0.519420	         0.517980	         0.530550	         0.388310	         0.778840	         0.555030	         0.516260	         0.610890	
            42.60	         0.506410	         0.505860	         0.518520	         0.378010	         0.762020	         0.541560	         0.503020	         0.597280	
            42.70	         0.493510	         0.493840	         0.506580	         0.367820	         0.745320	         0.528200	         0.489890	         0.583800	
            42.80	         0.480730	         0.481920	         0.494720	         0.357750	         0.728740	         0.514950	         0.476890	         0.570450	
            42.90	         0.468080	         0.470100	         0.482960	         0.347800	         0.712290	         0.501820	         0.464020	         0.557230	
            43.00	         0.455550	         0.458400	         0.471300	         0.337980	         0.695960	         0.488820	         0.451270	         0.544150	
            43.10	         0.443160	         0.446810	         0.459750	         0.328290	         0.679770	         0.475940	         0.438670	         0.531200	
            43.20	         0.430910	         0.435340	         0.448300	         0.318730	         0.663720	         0.463190	         0.426200	         0.518400	
            43.30	         0.418800	         0.423990	         0.436960	         0.309310	         0.647810	         0.450580	         0.413880	         0.505740	
            43.40	         0.406830	         0.412770	         0.425740	         0.300030	         0.632050	         0.438120	         0.401710	         0.493230	
            43.50	         0.395010	         0.401690	         0.414640	         0.290890	         0.616430	         0.425790	         0.389700	         0.480870	
            43.60	         0.383350	         0.390730	         0.403660	         0.281900	         0.600970	         0.413620	         0.377840	         0.468650	
            43.70	         0.371850	         0.379920	         0.392810	         0.273060	         0.585670	         0.401590	         0.366140	         0.456590	
            43.80	         0.360500	         0.369250	         0.382090	         0.264380	         0.570530	         0.389730	         0.354600	         0.444680	
            43.90	         0.349330	         0.358730	         0.371510	         0.255860	         0.555550	         0.378020	         0.343240	         0.432920	
            44.00	         0.338320	         0.348360	         0.361070	         0.247500	         0.540750	         0.366480	         0.332040	         0.421330	
            44.10	         0.327480	         0.338140	         0.350770	         0.239300	         0.526110	         0.355100	         0.321020	         0.409890	
            44.20	         0.316820	         0.328080	         0.340610	         0.231270	         0.511650	         0.343900	         0.310180	         0.398610	
            44.30	         0.306330	         0.318180	         0.330610	         0.223410	         0.497360	         0.332870	         0.299520	         0.387500	
            44.40	         0.296030	         0.308440	         0.320760	         0.215720	         0.483260	         0.322010	         0.289050	         0.376550	
            44.50	         0.285920	         0.298870	         0.311060	         0.208210	         0.469340	         0.311340	         0.278770	         0.365760	
            44.60	         0.275990	         0.289470	         0.301520	         0.200880	         0.455610	         0.300850	         0.268670	         0.355140	
            44.70	         0.266250	         0.280250	         0.292150	         0.193720	         0.442060	         0.290550	         0.258770	         0.344690	
            44.80	         0.256710	         0.271200	         0.282940	         0.186750	         0.428710	         0.280440	         0.249070	         0.334410	
            44.90	         0.247360	         0.262330	         0.273890	         0.179970	         0.415550	         0.270510	         0.239560	         0.324300	
