            angle	Ex=0.000(1g9/2)HSS,KD	Ex=0.000(1g9/2)HSS,BG	Ex=0.000(1g9/2)AC,KD	Ex=0.000(1g9/2)AC,BG	Ex=0.000(1g9/2)DCV,KD	Ex=0.000(1g9/2)DCV,BG	
             87.00          1.954000          1.757800          1.669100          1.509700          1.667700          1.511200
             88.00          1.957900          1.753700          1.667900          1.502400          1.666900          1.505100
             89.00          1.958900          1.747000          1.664600          1.493300          1.664300          1.497600
             90.00          1.957000          1.738000          1.659200          1.482500          1.660200          1.488800
             91.00          1.952300          1.726600          1.651800          1.470200          1.654600          1.478900
             92.00          1.944800          1.713300          1.642500          1.456700          1.647500          1.468100
             93.00          1.934800          1.698300          1.631400          1.442100          1.639000          1.456500
             94.00          1.922300          1.681900          1.618800          1.426600          1.629400          1.444500
             95.00          1.907800          1.664300          1.604800          1.410600          1.618800          1.432100
             96.00          1.891300          1.645900          1.589700          1.394300          1.607200          1.419500
             97.00          1.873300          1.626900          1.573600          1.377800          1.595000          1.406900
             98.00          1.854000          1.607700          1.556800          1.361500          1.582200          1.394400
             99.00          1.833800          1.588500          1.539600          1.345400          1.569100          1.382200
            100.00          1.812800          1.569500          1.522100          1.329800          1.555700          1.370400
            101.00          1.791600          1.551000          1.504600          1.314800          1.542300          1.359100
            102.00          1.770200          1.533200          1.487200          1.300500          1.529000          1.348300
            103.00          1.749100          1.516200          1.470200          1.287000          1.515900          1.338100
            104.00          1.728400          1.500100          1.453800          1.274400          1.503200          1.328600
            105.00          1.708400          1.485200          1.437900          1.262700          1.490900          1.319700
            106.00          1.689200          1.471300          1.422900          1.252000          1.479000          1.311400
            107.00          1.671100          1.458700          1.408700          1.242200          1.467800          1.303700
            108.00          1.654100          1.447200          1.395400          1.233300          1.457100          1.296600
            109.00          1.638200          1.436800          1.383100          1.225300          1.447000          1.290000
            110.00          1.623700          1.427500          1.371700          1.218100          1.437500          1.283900
            111.00          1.610400          1.419300          1.361300          1.211500          1.428600          1.278100
            112.00          1.598400          1.412000          1.351700          1.205500          1.420200          1.272600
            113.00          1.587600          1.405400          1.343000          1.200100          1.412400          1.267400
            114.00          1.577900          1.399600          1.335100          1.195000          1.405000          1.262200
            115.00          1.569400          1.394400          1.327900          1.190200          1.398000          1.257100
            116.00          1.561800          1.389600          1.321300          1.185600          1.391300          1.252000
            117.00          1.555100          1.385100          1.315200          1.181100          1.384900          1.246900
            118.00          1.549100          1.380800          1.309500          1.176500          1.378700          1.241500
            119.00          1.543700          1.376500          1.304200          1.171900          1.372700          1.235900
            120.00          1.538700          1.372200          1.299000          1.167000          1.366700          1.230100
            121.00          1.534100          1.367800          1.294000          1.161900          1.360700          1.224000
            122.00          1.529800          1.363000          1.288900          1.156500          1.354600          1.217500
            123.00          1.525500          1.358000          1.283900          1.150700          1.348500          1.210700
            124.00          1.521200          1.352600          1.278700          1.144500          1.342200          1.203600
            125.00          1.516700          1.346700          1.273300          1.137800          1.335700          1.196100
            126.00          1.512100          1.340300          1.267600          1.130800          1.329000          1.188200
            127.00          1.507100          1.333500          1.261700          1.123300          1.322200          1.180100
            128.00          1.501900          1.326100          1.255500          1.115500          1.315000          1.171600
            129.00          1.496200          1.318200          1.248900          1.107200          1.307700          1.162900
            130.00          1.490000          1.309800          1.242000          1.098600          1.300100          1.153900
            131.00          1.483500          1.300900          1.234800          1.089600          1.292300          1.144700
            132.00          1.476400          1.291600          1.227300          1.080400          1.284300          1.135400
            133.00          1.468900          1.281900          1.219400          1.071000          1.276100          1.126000
            134.00          1.461000          1.271900          1.211300          1.061400          1.267800          1.116500
            135.00          1.452600          1.261500          1.202900          1.051600          1.259300          1.107000
            136.00          1.443800          1.250900          1.194300          1.041800          1.250800          1.097500
            137.00          1.434700          1.240200          1.185500          1.031900          1.242200          1.088100
