            angle	Ex=2.332(1g9/2)AK	Ex=2.332(3s1/2)AK	Ex=2.332(2d5/2)AK	
              0.00          0.168600          3.794900          0.887820
              0.50          0.168650          3.778500          0.891840
              1.00          0.168810          3.729600          0.903890
              1.50          0.169100          3.649300          0.924040
              2.00          0.169540          3.539600          0.952360
              2.50          0.170160          3.402600          0.988960
              3.00          0.171010          3.241600          1.033900
              3.50          0.172140          3.059900          1.087300
              4.00          0.173610          2.861400          1.149100
              4.50          0.175490          2.650100          1.219400
              5.00          0.177870          2.430100          1.297900
              5.50          0.180840          2.205500          1.384300
              6.00          0.184490          1.980500          1.478400
              6.50          0.188950          1.758700          1.579600
              7.00          0.194320          1.543500          1.687100
              7.50          0.200750          1.338000          1.800300
              8.00          0.208360          1.144700          1.918100
              8.50          0.217310          0.965630          2.039400
              9.00          0.227750          0.802180          2.163100
              9.50          0.239860          0.655330          2.288000
             10.00          0.253810          0.525490          2.412700
             10.50          0.269770          0.412620          2.535900
             11.00          0.287950          0.316220          2.656500
             11.50          0.308540          0.235500          2.773200
             12.00          0.331730          0.169340          2.885000
             12.50          0.357720          0.116460          2.990900
             13.00          0.386710          0.075477          3.090200
             13.50          0.418900          0.044973          3.182300
             14.00          0.454470          0.023585          3.267000
             14.50          0.493620          0.010071          3.344100
             15.00          0.536500          0.003361          3.413800
             15.50          0.583280          0.002603          3.476500
             16.00          0.634080          0.007186          3.532800
             16.50          0.689040          0.016758          3.583500
             17.00          0.748230          0.031218          3.629600
             17.50          0.811730          0.050699          3.672300
             18.00          0.879580          0.075541          3.712800
             18.50          0.951790          0.106250          3.752400
             19.00          1.028300          0.143440          3.792600
             19.50          1.109100          0.187800          3.834600
             20.00          1.194200          0.240000          3.879800
             20.50          1.283300          0.300670          3.929500
             21.00          1.376300          0.370320          3.984800
             21.50          1.473100          0.449320          4.046700
             22.00          1.573400          0.537810          4.116300
             22.50          1.677100          0.635700          4.194200
             23.00          1.783800          0.742670          4.280900
             23.50          1.893300          0.858080          4.377100
             24.00          2.005400          0.981070          4.482900
             24.50          2.119700          1.110500          4.598500
             25.00          2.235800          1.245000          4.724000
             25.50          2.353600          1.383000          4.859200
             26.00          2.472600          1.522800          5.004200
             26.50          2.592600          1.662500          5.158500
             27.00          2.713300          1.800300          5.322100
             27.50          2.834300          1.934200          5.494600
             28.00          2.955400          2.062500          5.675800
             28.50          3.076200          2.183300          5.865500
             29.00          3.196500          2.295200          6.063400
             29.50          3.316100          2.396700          6.269400
             30.00          3.434600          2.486700          6.483200
             30.50          3.552000          2.564400          6.704700
             31.00          3.667900          2.629200          6.934000
             31.50          3.782100          2.680800          7.170700
             32.00          3.894500          2.719300          7.414900
             32.50          4.005000          2.745100          7.666400
             33.00          4.113300          2.758900          7.925100
             33.50          4.219300          2.761600          8.190900
             34.00          4.322900          2.754400          8.463300
             34.50          4.424100          2.738700          8.742200
             35.00          4.522700          2.716100          9.027000
             35.50          4.618600          2.688400          9.317200
             36.00          4.711700          2.657400          9.612300
             36.50          4.802100          2.624900          9.911300
             37.00          4.889700          2.593000         10.214000
             37.50          4.974400          2.563500         10.518000
             38.00          5.056300          2.538100         10.823000
             38.50          5.135300          2.518700         11.128000
             39.00          5.211500          2.506900         11.432000
             39.50          5.284800          2.504000         11.733000
             40.00          5.355400          2.511400         12.029000
             40.50          5.423200          2.530000         12.320000
             41.00          5.488300          2.560800         12.604000
             41.50          5.550800          2.604400         12.879000
             42.00          5.610700          2.661200         13.145000
             42.50          5.668200          2.731400         13.399000
             43.00          5.723300          2.815000         13.641000
             43.50          5.776000          2.911700         13.869000
             44.00          5.826600          3.021100         14.083000
             44.50          5.875000          3.142500         14.282000
             45.00          5.921400          3.275200         14.465000
             45.50          5.965900          3.418200         14.631000
             46.00          6.008500          3.570500         14.780000
             46.50          6.049300          3.730700         14.912000
             47.00          6.088500          3.897700         15.027000
             47.50          6.126100          4.069900         15.124000
             48.00          6.162100          4.246100         15.205000
             48.50          6.196600          4.424600         15.269000
             49.00          6.229600          4.604100         15.316000
             49.50          6.261200          4.782900         15.349000
