            angle	Ex=0.000(d:DCV,3He:XHS)	Ex=0.000(d:DCV,3He:LLC)	Ex=0.000(d:HSS,3He:LLC)	Ex=0.298(d:DCV,3He:XHS)	Ex=0.298(d:DCV,3He:LLC)	Ex=0.298(d:HSS,3He:LLC)	
             87.00          0.004809          0.019277          0.008793          0.004971          0.019629          0.009003
             88.00          0.004409          0.018006          0.008020          0.004559          0.018336          0.008210
             89.00          0.004059          0.016845          0.007338          0.004197          0.017152          0.007508
             90.00          0.003751          0.015784          0.006737          0.003878          0.016069          0.006890
             91.00          0.003477          0.014812          0.006207          0.003593          0.015076          0.006345
             92.00          0.003230          0.013918          0.005738          0.003337          0.014162          0.005862
             93.00          0.003004          0.013090          0.005319          0.003103          0.013316          0.005430
             94.00          0.002794          0.012317          0.004940          0.002887          0.012528          0.005040
             95.00          0.002596          0.011590          0.004592          0.002683          0.011789          0.004683
             96.00          0.002407          0.010902          0.004268          0.002489          0.011091          0.004352
             97.00          0.002225          0.010246          0.003962          0.002303          0.010427          0.004040
             98.00          0.002049          0.009617          0.003671          0.002124          0.009792          0.003743
             99.00          0.001879          0.009012          0.003392          0.001951          0.009183          0.003459
            100.00          0.001716          0.008430          0.003123          0.001785          0.008597          0.003186
            101.00          0.001559          0.007870          0.002864          0.001626          0.008034          0.002924
            102.00          0.001411          0.007333          0.002616          0.001475          0.007494          0.002672
            103.00          0.001272          0.006819          0.002380          0.001333          0.006977          0.002433
            104.00          0.001143          0.006331          0.002157          0.001200          0.006484          0.002206
            105.00          0.001025          0.005869          0.001950          0.001079          0.006017          0.001995
            106.00          0.000918          0.005436          0.001758          0.000968          0.005577          0.001800
            107.00          0.000823          0.005032          0.001584          0.000868          0.005166          0.001623
            108.00          0.000738          0.004659          0.001429          0.000779          0.004784          0.001463
            109.00          0.000664          0.004315          0.001291          0.000700          0.004431          0.001321
            110.00          0.000599          0.004001          0.001170          0.000632          0.004107          0.001196
            111.00          0.000544          0.003715          0.001066          0.000572          0.003812          0.001088
            112.00          0.000496          0.003456          0.000977          0.000521          0.003544          0.000995
            113.00          0.000454          0.003221          0.000901          0.000477          0.003300          0.000915
            114.00          0.000418          0.003008          0.000836          0.000439          0.003080          0.000847
            115.00          0.000387          0.002815          0.000781          0.000405          0.002879          0.000789
            116.00          0.000358          0.002638          0.000732          0.000375          0.002697          0.000738
            117.00          0.000332          0.002475          0.000689          0.000348          0.002529          0.000693
            118.00          0.000308          0.002323          0.000649          0.000323          0.002375          0.000651
            119.00          0.000285          0.002181          0.000612          0.000299          0.002231          0.000613
            120.00          0.000262          0.002048          0.000576          0.000277          0.002096          0.000576
            121.00          0.000241          0.001921          0.000540          0.000255          0.001969          0.000541
            122.00          0.000221          0.001801          0.000506          0.000234          0.001848          0.000506
            123.00          0.000201          0.001686          0.000471          0.000214          0.001733          0.000472
            124.00          0.000182          0.001576          0.000438          0.000195          0.001623          0.000439
            125.00          0.000164          0.001472          0.000405          0.000176          0.001518          0.000407
