            angle	Ex=0.000(1g9/2)LH,Menet	Ex=0.000(1g9/2)AC,Menet	Ex=0.000(1g9/2)DCV,Menet	Ex=0.000(1g9/2)DCV,BG	Ex=0.000(1g9/2)DCV,Varner	Ex=0.000(1g9/2)DCV,KD	
             43.50          2.084500          2.071500          1.972500          2.321200          2.491600          2.602900
             44.00          2.120300          2.076500          1.979800          2.330100          2.499500          2.611100
             44.50          2.154500          2.080800          1.986700          2.338600          2.507000          2.619200
             45.00          2.187000          2.084500          1.993200          2.346700          2.514200          2.627200
             45.50          2.217800          2.087700          1.999300          2.354500          2.521100          2.635200
             46.00          2.246600          2.090400          2.005300          2.362000          2.528000          2.643300
             46.50          2.273400          2.092800          2.011100          2.369200          2.534600          2.651300
             47.00          2.298000          2.094800          2.016700          2.376300          2.541200          2.659400
             47.50          2.320400          2.096600          2.022300          2.383100          2.547700          2.667600
             48.00          2.340500          2.098200          2.027900          2.389900          2.554100          2.675900
             48.50          2.358300          2.099600          2.033400          2.396400          2.560500          2.684200
             49.00          2.373600          2.100800          2.038900          2.402900          2.566800          2.692600
             49.50          2.386400          2.102000          2.044500          2.409300          2.573100          2.700900
