            angle	Ex=1.957(1g9/2)AK	Ex=1.957(3s1/2)AK	Ex=1.957(2d5/2)AK	
              0.00          0.189580          2.183800          1.638000
              0.50          0.189650          2.174200          1.641900
              1.00          0.189850          2.145700          1.653800
              1.50          0.190200          2.098800          1.673500
              2.00          0.190720          2.034700          1.701000
              2.50          0.191450          1.954700          1.736300
              3.00          0.192430          1.860600          1.779300
              3.50          0.193700          1.754400          1.829700
              4.00          0.195340          1.638400          1.887400
              4.50          0.197400          1.514800          1.952200
              5.00          0.199970          1.386300          2.023600
              5.50          0.203140          1.255000          2.101100
              6.00          0.206990          1.123500          2.184300
              6.50          0.211650          0.993930          2.272400
              7.00          0.217220          0.868340          2.364800
              7.50          0.223820          0.748530          2.460600
              8.00          0.231590          0.636060          2.558800
              8.50          0.240670          0.532200          2.658500
              9.00          0.251220          0.437920          2.758600
              9.50          0.263380          0.353920          2.858200
             10.00          0.277320          0.280590          2.956000
             10.50          0.293210          0.218120          3.051200
             11.00          0.311220          0.166430          3.142700
             11.50          0.331540          0.125320          3.229800
             12.00          0.354340          0.094391          3.311500
             12.50          0.379800          0.073197          3.387300
             13.00          0.408110          0.061226          3.456800
             13.50          0.439420          0.057958          3.519500
             14.00          0.473920          0.062907          3.575500
             14.50          0.511750          0.075643          3.624800
             15.00          0.553070          0.095821          3.667700
             15.50          0.598000          0.123190          3.704600
             16.00          0.646630          0.157610          3.736100
             16.50          0.699090          0.199030          3.763000
             17.00          0.755420          0.247490          3.786300
             17.50          0.815670          0.303110          3.806900
             18.00          0.879860          0.366050          3.826000
             18.50          0.947980          0.436480          3.844700
             19.00          1.020000          0.514560          3.864300
             19.50          1.095800          0.600380          3.885800
             20.00          1.175300          0.693980          3.910500
             20.50          1.258400          0.795240          3.939500
             21.00          1.344900          0.903940          3.973700
             21.50          1.434600          1.019700          4.014100
             22.00          1.527400          1.141800          4.061600
             22.50          1.622900          1.269700          4.116900
             23.00          1.720900          1.402200          4.180600
             23.50          1.821200          1.538300          4.253200
             24.00          1.923500          1.676700          4.335000
             24.50          2.027500          1.815800          4.426400
             25.00          2.132800          1.954300          4.527500
             25.50          2.239100          2.090400          4.638500
             26.00          2.346200          2.222500          4.759500
             26.50          2.453800          2.349000          4.890200
             27.00          2.561400          2.468200          5.030900
             27.50          2.668900          2.578700          5.181300
             28.00          2.776000          2.679100          5.341300
             28.50          2.882300          2.768300          5.510800
             29.00          2.987600          2.845200          5.689700
             29.50          3.091800          2.909300          5.877800
             30.00          3.194400          2.960000          6.075000
             30.50          3.295400          2.997100          6.281000
             31.00          3.394500          3.020700          6.495800
             31.50          3.491600          3.031300          6.718900
             32.00          3.586500          3.029500          6.950200
             32.50          3.679000          3.016300          7.189300
             33.00          3.769100          2.992800          7.435800
             33.50          3.856600          2.960300          7.689300
             34.00          3.941500          2.920600          7.949200
             34.50          4.023700          2.875300          8.214900
             35.00          4.103100          2.826200          8.485600
             35.50          4.179700          2.775400          8.760500
             36.00          4.253400          2.724700          9.038600
             36.50          4.324300          2.676100          9.319000
             37.00          4.392400          2.631600          9.600500
             37.50          4.457700          2.593000          9.882000
             38.00          4.520200          2.562000         10.162000
             38.50          4.580000          2.540300         10.440000
             39.00          4.637200          2.529300         10.713000
             39.50          4.691700          2.530200         10.981000
             40.00          4.743700          2.544100         11.242000
             40.50          4.793300          2.571900         11.496000
             41.00          4.840600          2.614100         11.739000
             41.50          4.885600          2.671200         11.973000
             42.00          4.928600          2.743200         12.194000
             42.50          4.969500          2.830200         12.403000
             43.00          5.008500          2.931800         12.597000
             43.50          5.045800          3.047500         12.777000
             44.00          5.081300          3.176600         12.942000
             44.50          5.115400          3.318200         13.091000
             45.00          5.147900          3.471300         13.224000
             45.50          5.179200          3.634500         13.340000
             46.00          5.209200          3.806600         13.440000
             46.50          5.238000          3.986200         13.523000
             47.00          5.265700          4.171600         13.590000
             47.50          5.292500          4.361300         13.642000
             48.00          5.318200          4.553600         13.678000
             48.50          5.343000          4.746800         13.699000
             49.00          5.367000          4.939300         13.706000
             49.50          5.390100          5.129400         13.700000
