            angle	Ex=0.000(2d5/2)AK	Ex=0.500(2d5/2)AK	Ex=1.000(2d5/2)AK	Ex=1.500(2d5/2)AK	Ex=2.000(2d5/2)AK	Ex=2.500(2d5/2)AK	Ex=3.000(2d5/2)AK	
              0.00          4.305200          3.915900          3.327900          2.520500          1.548100          0.584070          0.217450
              1.00          4.310800          3.924200          3.339100          2.534400          1.564000          0.599550          0.225630
              2.00          4.326800          3.948800          3.372100          2.575900          1.611600          0.646560          0.252430
              3.00          4.352200          3.988000          3.425500          2.643700          1.690500          0.726570          0.304060
              4.00          4.384600          4.039600          3.496900          2.735800          1.799900          0.841340          0.389240
              5.00          4.421400          4.100300          3.582900          2.849200          1.937800          0.992000          0.517050
              6.00          4.459000          4.166000          3.679300          2.979700          2.101100          1.178100          0.694590
              7.00          4.493700          4.232200          3.781000          3.122100          2.285100          1.397000          0.924840
              8.00          4.521800          4.294200          3.882400          3.270300          2.483400          1.643000          1.205300
              9.00          4.539500          4.347100          3.977700          3.417300          2.688500          1.908000          1.527400
             10.00          4.543700          4.386700          4.061400          3.556300          2.891800          2.181600          1.877500
             11.00          4.532300          4.409500          4.128700          3.681000          3.084900          2.452500          2.237900
             12.00          4.503900          4.413300          4.176200          3.786000          3.260400          2.709500          2.590100
             13.00          4.458700          4.397400          4.201900          3.868000          3.412400          2.943500          2.916900
             14.00          4.398000          4.362500          4.205900          3.925500          3.537800          3.147900          3.205000
             15.00          4.324500          4.311400          4.190100          3.959700          3.636200          3.320300          3.447500
             16.00          4.242200          4.247800          4.158300          3.974100          3.710600          3.462500          3.644300
             17.00          4.155600          4.177000          4.116000          3.974200          3.766300          3.580300          3.802500
             18.00          4.070200          4.105000          4.069900          3.967100          3.811300          3.682700          3.935100
             19.00          3.991500          4.038400          4.027100          3.960900          3.854500          3.780800          4.059300
             20.00          3.925200          3.983600          3.995100          3.964000          3.905600          3.886500          4.193500
             21.00          3.876500          3.946900          3.980900          3.984300          3.973700          4.011100          4.355300
             22.00          3.850400          3.933900          3.990800          4.029000          4.066500          4.163900          4.559200
             23.00          3.851100          3.949400          4.030400          4.103700          4.190500          4.351800          4.814500
             24.00          3.882300          3.997500          4.103900          4.213200          4.350000          4.578900          5.125200
             25.00          3.946800          4.081200          4.214500          4.360500          4.547500          4.846200          5.489900
             26.00          4.046700          4.202800          4.364600          4.547600          4.784300          5.152900          5.902600
             27.00          4.183300          4.363500          4.555300          4.775400          5.060400          5.496600          6.354700
             28.00          4.357000          4.563900          4.787100          5.044200          5.375000          5.874300          6.836400
             29.00          4.567000          4.803200          5.059500          5.353400          5.727300          6.283000          7.338700
             30.00          4.811600          5.079800          5.370900          5.701800          6.115900          6.720700          7.854800
             31.00          5.087500          5.390700          5.718800          6.087500          6.539700          7.186100          8.381000
             32.00          5.390100          5.731600          6.099600          6.507600          6.996800          7.678800          8.916900
             33.00          5.713600          6.096800          6.508300          6.958200          7.485100          8.198600          9.464700
             34.00          6.050400          6.479300          6.938200          7.434100          8.001300          8.745400         10.029000
             35.00          6.392100          6.870700          7.381800          7.928500          8.540800          9.318200         10.614000
             36.00          6.729200          7.261600          7.829800          8.433600          9.097700          9.914600         11.226000
             37.00          7.051800          7.641800          8.272500          8.940100          9.664200         10.530000         11.865000
             38.00          7.350000          8.001200          8.699200          9.437600         10.231000         11.159000         12.532000
             39.00          7.614700          8.329900          9.099600          9.915600         10.789000         11.792000         13.222000
             40.00          7.837700          8.618700          9.463700         10.363000         11.326000         12.419000         13.930000
             41.00          8.012500          8.860200          9.782700         10.771000         11.832000         13.029000         14.642000
             42.00          8.134600          9.048500         10.049000         11.130000         12.296000         13.610000         15.348000
             43.00          8.202000          9.180100         10.259000         11.433000         12.710000         14.151000         16.033000
             44.00          8.214900          9.254100         10.408000         11.676000         13.066000         14.641000         16.683000
             45.00          8.176000          9.271600         10.497000         11.855000         13.358000         15.072000         17.283000
             46.00          8.090000          9.236400         10.528000         11.972000         13.585000         15.438000         17.822000
             47.00          7.963700          9.154000         10.504000         12.028000         13.746000         15.734000         18.291000
             48.00          7.805200          9.031900         10.433000         12.028000         13.843000         15.959000         18.683000
             49.00          7.623600          8.878400         10.322000         11.979000         13.881000         16.115000         18.995000
