#206Hg(d,p)207Hg(5/2+ 1.950) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.950) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.950) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.950) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.950) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.950) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.950) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.950) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.950) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.950) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.950) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.950) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.950) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.950) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.950) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.950) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.950) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.950) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.950) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.950) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.950) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.950) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.950) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.950) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.950) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.950) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.950) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.950) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.950) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.950) ELAB= 14.780
   Angel	  Ex=1.950(2d5/2)AK  Ex=1.950(2d5/2)QV  Ex=1.950(2d5/2)AM  Ex=1.950(2d5/2)AG  Ex=1.950(2d5/2)AP  Ex=1.950(2d5/2)HK  Ex=1.950(2d5/2)HV  Ex=1.950(2d5/2)HM  Ex=1.950(2d5/2)HG  Ex=1.950(2d5/2)HP  Ex=1.950(2d5/2)BK  Ex=1.950(2d5/2)BV  Ex=1.950(2d5/2)BM  Ex=1.950(2d5/2)BG  Ex=1.950(2d5/2)BP  Ex=1.950(2d5/2)DK  Ex=1.950(2d5/2)DV  Ex=1.950(2d5/2)DM  Ex=1.950(2d5/2)DG  Ex=1.950(2d5/2)DP  Ex=1.950(2d5/2)LK  Ex=1.950(2d5/2)LV  Ex=1.950(2d5/2)LM  Ex=1.950(2d5/2)LG  Ex=1.950(2d5/2)LP  Ex=1.950(2d5/2)QK  Ex=1.950(2d5/2)QV  Ex=1.950(2d5/2)QM  Ex=1.950(2d5/2)QG  Ex=1.950(2d5/2)QP
   0.500	           2.225700           0.862370           0.994380           8.339700           3.078200           3.010700           2.273100           1.246200          12.017000           4.288400           1.881500           1.416900           1.045200           6.666200           2.515900           1.894000           1.329900           0.886770           6.953300           2.590800           0.660530           0.465780           0.089712           6.349500           1.256400           1.187900           0.862370           0.497530           6.452800           1.811600
   1.000	           2.237000           0.871130           1.005000           8.356700           3.090900           3.023600           2.285900           1.258800          12.034000           4.302500           1.891000           1.426900           1.055500           6.681400           2.526400           1.904300           1.339900           0.896230           6.969500           2.602600           0.668630           0.473830           0.097555           6.361600           1.265800           1.196700           0.871130           0.506630           6.465000           1.821200
   1.500	           2.255700           0.885760           1.022600           8.384900           3.112000           3.044900           2.307100           1.279800          12.062000           4.325900           1.906700           1.443600           1.072600           6.706700           2.543800           1.921400           1.356700           0.912000           6.996500           2.622200           0.682170           0.487290           0.110700           6.381700           1.281400           1.211300           0.885760           0.521820           6.485200           1.837300
   2.000	           2.281600           0.906270           1.047200           8.424300           3.141300           3.074700           2.336800           1.309000          12.101000           4.358400           1.928600           1.466800           1.096600           6.741900           2.567900           1.945300           1.380100           0.934050           7.034100           2.649500           0.701190           0.506260           0.129230           6.410000           1.303400           1.231700           0.906270           0.543130           6.513500           1.859700
   2.500	           2.314800           0.932690           1.078800           8.474500           3.178700           3.112600           2.374700           1.346600          12.150000           4.399900           1.956500           1.496500           1.127200           6.786900           2.598700           1.975800           1.410200           0.962350           7.082200           2.684300           0.725750           0.530840           0.153280           6.446400           1.331600           1.257900           0.932690           0.570560           6.549800           1.888500
   3.000	           2.355000           0.965010           1.117200           8.535400           3.224000           3.158500           2.420700           1.392300          12.210000           4.450100           1.990200           1.532600           1.164500           6.841100           2.636000           2.012700           1.446700           0.996840           7.140400           2.726300           0.755900           0.561150           0.183000           6.491000           1.366300           1.289800           0.965010           0.604150           6.594200           1.923500
   3.500	           2.401800           1.003200           1.162400           8.606400           3.276600           3.212000           2.474700           1.445900          12.280000           4.508500           2.029700           1.574900           1.208200           6.904400           2.679300           2.055800           1.489500           1.037400           7.208600           2.775400           0.791690           0.597300           0.218530           6.543800           1.407200           1.327400           1.003200           0.643870           6.646300           1.964700
   4.000	           2.455000           1.047300           1.214100           8.687200           3.336300           3.272900           2.536300           1.507300          12.359000           4.574700           2.074500           1.623200           1.258300           6.976200           2.728400           2.104800           1.538400           1.083900           7.286300           2.831000           0.833120           0.639390           0.260000           6.604700           1.454500           1.370600           1.047300           0.689710           6.706200           2.011800
   4.500	           2.514200           1.097100           1.272100           8.777100           3.402600           3.340600           2.605200           1.576200          12.447000           4.648100           2.124200           1.677100           1.314400           7.055900           2.782800           2.159400           1.593200           1.136200           7.372900           2.892800           0.880180           0.687500           0.307550           6.673700           1.507900           1.419200           1.097100           0.741590           6.773500           2.064600
   5.000	           2.578800           1.152500           1.336100           8.875400           3.474700           3.414400           2.680800           1.652200          12.543000           4.728100           2.178600           1.736400           1.376300           7.142800           2.841900           2.219000           1.653500           1.193900           7.467800           2.960100           0.932790           0.741650           0.361240           6.750500           1.567400           1.472800           1.152500           0.799380           6.848000           2.122700
