            angle	Ex=0.000(1g9/2)LH,Menet	Ex=0.000(1g9/2)AC,Menet	Ex=0.000(1g9/2)DCV,Menet	Ex=0.000(1g9/2)DCV,BG	Ex=0.000(1g9/2)DCV,Varner	Ex=0.000(1g9/2)DCV,KD	
             87.00          0.965780          0.917270          0.941800          1.132900          1.206600          1.284000
             88.00          0.942440          0.884990          0.914480          1.096400          1.165700          1.244300
             89.00          0.916840          0.853310          0.888130          1.062500          1.127000          1.205700
             90.00          0.889270          0.822550          0.862870          1.031300          1.090500          1.168600
             91.00          0.860070          0.793010          0.838830          1.002900          1.056700          1.133200
             92.00          0.829670          0.764980          0.816100          0.977290          1.025600          1.099800
             93.00          0.798460          0.738660          0.794730          0.954560          0.997440          1.068600
             94.00          0.766900          0.714250          0.774750          0.934540          0.972140          1.039800
             95.00          0.735390          0.691850          0.756150          0.917040          0.949650          1.013300
             96.00          0.704340          0.671510          0.738900          0.901830          0.929850          0.989220
             97.00          0.674120          0.653230          0.722900          0.888610          0.912510          0.967440
             98.00          0.645050          0.636930          0.708060          0.877030          0.897360          0.947820
             99.00          0.617400          0.622490          0.694240          0.866720          0.884080          0.930160
            100.00          0.591390          0.609740          0.681310          0.857330          0.872310          0.914210
            101.00          0.567190          0.598480          0.669090          0.848450          0.861690          0.899690
            102.00          0.544890          0.588460          0.657420          0.839750          0.851820          0.886300
            103.00          0.524540          0.579430          0.646150          0.830880          0.842340          0.873720
            104.00          0.506150          0.571140          0.635100          0.821540          0.832890          0.861630
            105.00          0.489650          0.563320          0.624140          0.811480          0.823140          0.849740
            106.00          0.474970          0.555730          0.613140          0.800510          0.812820          0.837760
            107.00          0.461990          0.548140          0.601980          0.788470          0.801700          0.825440
            108.00          0.450550          0.540370          0.590600          0.775270          0.789580          0.812580
            109.00          0.440500          0.532230          0.578920          0.760880          0.776360          0.799010
            110.00          0.431650          0.523610          0.566900          0.745310          0.761950          0.784610
            111.00          0.423830          0.514400          0.554540          0.728630          0.746350          0.769310
            112.00          0.416860          0.504550          0.541850          0.710950          0.729590          0.753080
            113.00          0.410560          0.494040          0.528860          0.692400          0.711750          0.735950
            114.00          0.404780          0.482890          0.515630          0.673180          0.692970          0.717980
            115.00          0.399350          0.471150          0.502210          0.653470          0.673390          0.699260
            116.00          0.394160          0.458880          0.488690          0.633480          0.653210          0.679930
            117.00          0.389080          0.446190          0.475160          0.613450          0.632630          0.660140
            118.00          0.384020          0.433190          0.461720          0.593570          0.611870          0.640070
            119.00          0.378900          0.420010          0.448450          0.574070          0.591140          0.619900
            120.00          0.373670          0.406780          0.435450          0.555140          0.570670          0.599820
            121.00          0.368270          0.393640          0.422810          0.536960          0.550660          0.580010
            122.00          0.362690          0.380730          0.410630          0.519700          0.531300          0.560660
            123.00          0.356920          0.368170          0.398960          0.503470          0.512770          0.541940
            124.00          0.350950          0.356090          0.387880          0.488380          0.495210          0.523990
            125.00          0.344790          0.344580          0.377430          0.474520          0.478740          0.506950
            126.00          0.338470          0.333740          0.367660          0.461920          0.463460          0.490920
            127.00          0.332020          0.323630          0.358580          0.450610          0.449420          0.475970
            128.00          0.325460          0.314310          0.350220          0.440570          0.436670          0.462180
            129.00          0.318830          0.305820          0.342560          0.431770          0.425200          0.449570
            130.00          0.312170          0.298170          0.335600          0.424140          0.415000          0.438130
            131.00          0.305500          0.291350          0.329300          0.417630          0.406030          0.427870
            132.00          0.298870          0.285350          0.323630          0.412130          0.398210          0.418730
            133.00          0.292300          0.280140          0.318560          0.407530          0.391470          0.410660
            134.00          0.285810          0.275660          0.314030          0.403730          0.385700          0.403580
            135.00          0.279450          0.271870          0.309980          0.400610          0.380800          0.397410
            136.00          0.273220          0.268690          0.306370          0.398040          0.376660          0.392060
            137.00          0.267140          0.266060          0.303120          0.395910          0.373150          0.387410
            138.00          0.261240          0.263900          0.300190          0.394100          0.370150          0.383370
            139.00          0.255510          0.262130          0.297510          0.392500          0.367560          0.379830
            140.00          0.249960          0.260680          0.295040          0.391020          0.365250          0.376690
            141.00          0.244610          0.259470          0.292710          0.389550          0.363120          0.373840
            142.00          0.239440          0.258430          0.290490          0.388010          0.361080          0.371190
            143.00          0.234470          0.257500          0.288320          0.386350          0.359030          0.368650
            144.00          0.229680          0.256610          0.286180          0.384510          0.356920          0.366150
            145.00          0.225080          0.255710          0.284030          0.382430          0.354660          0.363630
            146.00          0.220650          0.254760          0.281850          0.380090          0.352210          0.361010
            147.00          0.216400          0.253710          0.279610          0.377480          0.349540          0.358260
            148.00          0.212320          0.252540          0.277310          0.374570          0.346620          0.355350
            149.00          0.208400          0.251220          0.274920          0.371370          0.343430          0.352240
            150.00          0.204640          0.249730          0.272460          0.367900          0.339960          0.348930
            151.00          0.201030          0.248070          0.269920          0.364170          0.336230          0.345410
            152.00          0.197560          0.246230          0.267300          0.360190          0.332240          0.341670
            153.00          0.194230          0.244220          0.264610          0.356010          0.328020          0.337740
            154.00          0.191030          0.242040          0.261850          0.351660          0.323580          0.333620
            155.00          0.187970          0.239710          0.259060          0.347170          0.318970          0.329340
            156.00          0.185030          0.237240          0.256230          0.342580          0.314220          0.324930
            157.00          0.182220          0.234660          0.253380          0.337930          0.309350          0.320420
            158.00          0.179520          0.231980          0.250530          0.333260          0.304420          0.315830
            159.00          0.176950          0.229230          0.247700          0.328610          0.299460          0.311210
            160.00          0.174500          0.226440          0.244910          0.324020          0.294510          0.306580
            161.00          0.172160          0.223630          0.242170          0.319520          0.289600          0.301990
            162.00          0.169950          0.220820          0.239490          0.315130          0.284790          0.297450
            163.00          0.167850          0.218040          0.236900          0.310900          0.280090          0.293020
            164.00          0.165870          0.215320          0.234410          0.306850          0.275540          0.288710
            165.00          0.164010          0.212670          0.232030          0.302990          0.271170          0.284550
            166.00          0.162280          0.210120          0.229770          0.299350          0.267000          0.280580
            167.00          0.160670          0.207680          0.227650          0.295950          0.263060          0.276810
            168.00          0.159180          0.205380          0.225660          0.292780          0.259370          0.273260
            169.00          0.157810          0.203210          0.223830          0.289870          0.255940          0.269950
            170.00          0.156560          0.201210          0.222140          0.287220          0.252780          0.266890
            171.00          0.155440          0.199380          0.220620          0.284820          0.249910          0.264100
            172.00          0.154440          0.197720          0.219250          0.282690          0.247320          0.261590
            173.00          0.153560          0.196240          0.218050          0.280820          0.245040          0.259360
            174.00          0.152800          0.194960          0.217000          0.279200          0.243060          0.257420
            175.00          0.152160          0.193860          0.216120          0.277850          0.241380          0.255770
            176.00          0.151640          0.192970          0.215400          0.276740          0.240000          0.254420
            177.00          0.151240          0.192270          0.214840          0.275890          0.238930          0.253370
            178.00          0.150950          0.191770          0.214450          0.275280          0.238170          0.252620
            179.00          0.150780          0.191460          0.214210          0.274910          0.237710          0.252160
