            angle	Ex=2.938(p:Menet,d:DCV)	Ex=2.938(p:KD,d:DCV)	Ex=2.938(p:Varmar,d:DCV)	Ex=2.938(p:BG,d:DCV(re))	Ex=2.938(p:Menet,d:LH)	Ex=2.938(p:Menet,d:DCV(nonREL))	Ex=2.938(p:Menet,d:AC)	Ex=2.938(p:Menet,d:Custom)	
            41.70	         0.540770	         0.657890	         0.605430	         0.613350	         0.258790	         0.516750	         0.535530	         0.117010	
            41.80	         0.534110	         0.650070	         0.597860	         0.606020	         0.254590	         0.510150	         0.528800	         0.115330	
            41.90	         0.527510	         0.642320	         0.590360	         0.598750	         0.250460	         0.503620	         0.522140	         0.113700	
            42.00	         0.520980	         0.634630	         0.582920	         0.591550	         0.246390	         0.497140	         0.515540	         0.112110	
            42.10	         0.514500	         0.627010	         0.575550	         0.584420	         0.242380	         0.490740	         0.509010	         0.110570	
            42.20	         0.508100	         0.619450	         0.568240	         0.577350	         0.238430	         0.484390	         0.502550	         0.109070	
            42.30	         0.501750	         0.611960	         0.561000	         0.570340	         0.234550	         0.478120	         0.496140	         0.107620	
            42.40	         0.495470	         0.604540	         0.553830	         0.563400	         0.230730	         0.471900	         0.489810	         0.106210	
            42.50	         0.489260	         0.597190	         0.546730	         0.556530	         0.226970	         0.465760	         0.483540	         0.104850	
            42.60	         0.483110	         0.589900	         0.539700	         0.549730	         0.223280	         0.459680	         0.477330	         0.103530	
            42.70	         0.477030	         0.582690	         0.532740	         0.542990	         0.219650	         0.453670	         0.471200	         0.102260	
            42.80	         0.471020	         0.575540	         0.525850	         0.536320	         0.216080	         0.447720	         0.465130	         0.101030	
            42.90	         0.465070	         0.568460	         0.519020	         0.529720	         0.212570	         0.441850	         0.459130	         0.099842	
            43.00	         0.459180	         0.561460	         0.512270	         0.523190	         0.209130	         0.436040	         0.453190	         0.098698	
            43.10	         0.453370	         0.554520	         0.505590	         0.516730	         0.205750	         0.430290	         0.447330	         0.097596	
            43.20	         0.447620	         0.547660	         0.498980	         0.510340	         0.202430	         0.424620	         0.441530	         0.096536	
            43.30	         0.441940	         0.540870	         0.492450	         0.504010	         0.199170	         0.419010	         0.435800	         0.095517	
            43.40	         0.436330	         0.534140	         0.485980	         0.497760	         0.195980	         0.413480	         0.430140	         0.094540	
            43.50	         0.430790	         0.527500	         0.479590	         0.491580	         0.192840	         0.408010	         0.424550	         0.093603	
            43.60	         0.425310	         0.520920	         0.473270	         0.485470	         0.189770	         0.402610	         0.419020	         0.092706	
            43.70	         0.419900	         0.514420	         0.467020	         0.479420	         0.186760	         0.397280	         0.413570	         0.091848	
            43.80	         0.414560	         0.507990	         0.460850	         0.473450	         0.183810	         0.392010	         0.408180	         0.091030	
            43.90	         0.409290	         0.501630	         0.454740	         0.467550	         0.180930	         0.386820	         0.402870	         0.090251	
            44.00	         0.404090	         0.495340	         0.448720	         0.461720	         0.178100	         0.381700	         0.397620	         0.089509	
            44.10	         0.398960	         0.489130	         0.442760	         0.455970	         0.175330	         0.376640	         0.392440	         0.088806	
            44.20	         0.393890	         0.483000	         0.436880	         0.450280	         0.172620	         0.371660	         0.387330	         0.088139	
            44.30	         0.388890	         0.476930	         0.431070	         0.444670	         0.169980	         0.366740	         0.382290	         0.087509	
            44.40	         0.383970	         0.470940	         0.425340	         0.439120	         0.167390	         0.361890	         0.377320	         0.086916	
            44.50	         0.379110	         0.465030	         0.419680	         0.433650	         0.164860	         0.357110	         0.372420	         0.086357	
            44.60	         0.374320	         0.459190	         0.414090	         0.428250	         0.162390	         0.352400	         0.367590	         0.085834	
            44.70	         0.369590	         0.453420	         0.408580	         0.422920	         0.159980	         0.347760	         0.362820	         0.085346	
            44.80	         0.364940	         0.447720	         0.403140	         0.417660	         0.157620	         0.343190	         0.358130	         0.084892	
            44.90	         0.360350	         0.442110	         0.397780	         0.412480	         0.155330	         0.338690	         0.353510	         0.084471	
