#206Hg(d,p)207Hg(5/2+ 2.530) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.530) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.530) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.530) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.530) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.530) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.530) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.530) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.530) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.530) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.530) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.530) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.530) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.530) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.530) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.530) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.530) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.530) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.530) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.530) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.530) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.530) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.530) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.530) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.530) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.530) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.530) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.530) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.530) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.530) ELAB= 14.780
   Angel	  Ex=2.530(2d5/2)AK  Ex=2.530(2d5/2)QV  Ex=2.530(2d5/2)AM  Ex=2.530(2d5/2)AG  Ex=2.530(2d5/2)AP  Ex=2.530(2d5/2)HK  Ex=2.530(2d5/2)HV  Ex=2.530(2d5/2)HM  Ex=2.530(2d5/2)HG  Ex=2.530(2d5/2)HP  Ex=2.530(2d5/2)BK  Ex=2.530(2d5/2)BV  Ex=2.530(2d5/2)BM  Ex=2.530(2d5/2)BG  Ex=2.530(2d5/2)BP  Ex=2.530(2d5/2)DK  Ex=2.530(2d5/2)DV  Ex=2.530(2d5/2)DM  Ex=2.530(2d5/2)DG  Ex=2.530(2d5/2)DP  Ex=2.530(2d5/2)LK  Ex=2.530(2d5/2)LV  Ex=2.530(2d5/2)LM  Ex=2.530(2d5/2)LG  Ex=2.530(2d5/2)LP  Ex=2.530(2d5/2)QK  Ex=2.530(2d5/2)QV  Ex=2.530(2d5/2)QM  Ex=2.530(2d5/2)QG  Ex=2.530(2d5/2)QP
   0.500	           0.859960           0.282870           0.327410           4.936500           1.282300           1.474100           0.984190           0.478650           7.896700           2.236300           0.658880           0.395550           0.370480           3.699700           0.930130           0.642040           0.334400           0.278130           4.010200           0.953740           0.377220           0.355200           0.034636           5.760500           0.860030           0.440610           0.282870           0.094075           4.858500           0.840970
   1.000	           0.873850           0.290350           0.338490           4.955500           1.298100           1.490000           0.998070           0.491980           7.916600           2.253900           0.670760           0.406510           0.381700           3.717200           0.943490           0.654460           0.344860           0.287750           4.027300           0.967990           0.384970           0.361200           0.040841           5.770600           0.868960           0.449540           0.290350           0.102470           4.868700           0.850860
   1.500	           0.897070           0.303010           0.357060           4.987500           1.324400           1.516500           1.021300           0.514290           7.950000           2.283300           0.690640           0.424860           0.400470           3.746300           0.965810           0.675240           0.362400           0.303890           4.056100           0.991800           0.398090           0.371410           0.051396           5.787900           0.884010           0.464580           0.303010           0.116640           4.885800           0.867490
   2.000	           0.929690           0.321110           0.383250           5.032400           1.361400           1.553700           1.054000           0.545730           7.996900           2.324500           0.718600           0.450760           0.426940           3.787300           0.997180           0.704490           0.387200           0.326730           4.096600           1.025300           0.416820           0.386170           0.066606           5.812600           0.905470           0.485950           0.321110           0.136790           4.910200           0.891080
   2.500	           0.971800           0.344990           0.417260           5.090500           1.409000           1.601700           1.096400           0.586440           8.057500           2.377500           0.754750           0.484360           0.461260           3.840300           1.037700           0.742330           0.419460           0.356470           4.149200           1.068500           0.441530           0.405890           0.086874           5.845200           0.933670           0.513920           0.344990           0.163250           4.942500           0.921900
   3.000	           1.023500           0.375060           0.459270           5.161900           1.467400           1.660600           1.148600           0.636620           8.132100           2.442600           0.799190           0.525860           0.503580           3.905500           1.087300           0.788890           0.459410           0.393340           4.214000           1.121600           0.472600           0.431080           0.112670           5.886400           0.969010           0.548810           0.375060           0.196350           4.983100           0.960260
   3.500	           1.084800           0.411740           0.509450           5.247000           1.536500           1.730400           1.210800           0.696410           8.220800           2.519500           0.852000           0.575420           0.554070           3.983000           1.146300           0.844240           0.507250           0.437560           4.291400           1.184500           0.510470           0.462290           0.144530           5.936800           1.011900           0.590950           0.411740           0.236460           5.032600           1.006500
   4.000	           1.155600           0.455450           0.567950           5.345600           1.616200           1.810900           1.283000           0.765930           8.323800           2.608200           0.913180           0.633170           0.612820           4.072900           1.214400           0.908420           0.563180           0.489320           4.381500           1.257400           0.555570           0.500080           0.182970           5.997100           1.062800           0.640630           0.455450           0.283930           5.091600           1.060800
   4.500	           1.235900           0.506560           0.634840           5.458000           1.706400           1.902100           1.365400           0.845210           8.440900           2.708400           0.982680           0.699150           0.679880           4.175200           1.291500           0.981380           0.627290           0.548750           4.484500           1.340000           0.608270           0.544990           0.228520           6.067800           1.122000           0.698090           0.506560           0.339080           5.160600           1.123500
   5.000	           1.325500           0.565370           0.710090           5.583900           1.806800           2.003700           1.457800           0.934200           8.572200           2.819900           1.060300           0.773340           0.755200           4.289700           1.377500           1.063000           0.699600           0.615900           4.600300           1.432200           0.668880           0.597500           0.281630           6.149600           1.189800           0.763490           0.565370           0.402140           5.240100           1.194700
   5.500	           1.423800           0.632080           0.793560           5.723000           1.916800           2.115200           1.560000           1.032700           8.717100           2.942100           1.145800           0.855570           0.838620           4.416200           1.471900           1.152800           0.779990           0.690680           4.728700           1.533500           0.737620           0.658010           0.342680           6.242900           1.266400           0.836880           0.632080           0.473260           5.330300           1.274400
   6.000	           1.530400           0.706750           0.884980           5.874800           2.035900           2.236000           1.671500           1.140400           8.875200           3.074300           1.238600           0.945540           0.929830           4.554100           1.574300           1.250500           0.868190           0.772890           4.869500           1.643400           0.814580           0.726790           0.411960           6.347900           1.351900           0.918130           0.706750           0.552450           5.431400           1.362400
   6.500	           1.644500           0.789290           0.983890           6.039000           2.163200           2.365300           1.792000           1.256800           9.046100           3.215900           1.338100           1.042800           1.028400           4.703000           1.683800           1.355400           0.963770           0.862170           5.022200           1.761200           0.899670           0.803970           0.489600           6.465000           1.446100           1.007000           0.789290           0.639580           5.543300           1.458500
   7.000	           1.765200           0.879450           1.089700           6.213500           2.297600           2.502100           1.920500           1.381200           9.227500           3.364900           1.443700           1.146700           1.133800           4.861100           1.799600           1.466600           1.066100           0.958000           5.185200           1.885900           0.992670           0.889550           0.575620           6.593200           1.548700           1.103000           0.879450           0.734370           5.665800           1.562000
   7.500	           1.891500           0.976800           1.201700           6.398100           2.438000           2.645200           2.056100           1.512800           9.419300           3.520800           1.554300           1.256500           1.245200           5.028100           1.920600           1.583100           1.174500           1.059700           5.358200           2.016300           1.093200           0.983330           0.669850           6.732900           1.659300           1.205600           0.976800           0.836400           5.798300           1.672400
   8.000	           2.022000           1.080800           1.319000           6.591100           2.582900           2.793300           2.197800           1.650600           9.619600           3.681900           1.668800           1.371300           1.361800           5.202300           2.045700           1.703900           1.287900           1.166500           5.539700           2.151200           1.200700           1.085000           0.772010           6.883300           1.777200           1.314000           1.080800           0.945080           5.940000           1.788800
   8.500	           2.155300           1.190500           1.440400           6.790600           2.730700           2.944800           2.344200           1.793400           9.826300           3.846400           1.786000           1.490000           1.482600           5.382200           2.173400           1.827400           1.405300           1.277300           5.728100           2.289100           1.314300           1.193900           0.881650           7.043300           1.901600           1.427100           1.190500           1.059700           6.089800           1.910100
   9.000	           2.289800           1.305300           1.565000           6.994700           2.879800           3.098100           2.493900           1.940100          10.038000           4.012500           1.904700           1.611400           1.606600           5.565900           2.302300           1.952300           1.525400           1.391200           5.921500           2.428400           1.433400           1.309600           0.998210           7.212000           2.031500           1.544100           1.305300           1.179400           6.246700           2.035100
