#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
   Angel	  Ex=0.000(1g9/2)AK  Ex=0.000(1g9/2)QV  Ex=0.000(1g9/2)AM  Ex=0.000(1g9/2)AG  Ex=0.000(1g9/2)AP  Ex=0.000(1g9/2)HK  Ex=0.000(1g9/2)HV  Ex=0.000(1g9/2)HM  Ex=0.000(1g9/2)HG  Ex=0.000(1g9/2)HP  Ex=0.000(1g9/2)BK  Ex=0.000(1g9/2)BV  Ex=0.000(1g9/2)BM  Ex=0.000(1g9/2)BG  Ex=0.000(1g9/2)BP  Ex=0.000(1g9/2)DK  Ex=0.000(1g9/2)DV  Ex=0.000(1g9/2)DM  Ex=0.000(1g9/2)DG  Ex=0.000(1g9/2)DP  Ex=0.000(1g9/2)LK  Ex=0.000(1g9/2)LV  Ex=0.000(1g9/2)LM  Ex=0.000(1g9/2)LG  Ex=0.000(1g9/2)LP  Ex=0.000(1g9/2)QK  Ex=0.000(1g9/2)QV  Ex=0.000(1g9/2)QM  Ex=0.000(1g9/2)QG  Ex=0.000(1g9/2)QP
   5.500	           0.341210           0.097507           0.186580           2.631900           0.621440           0.264220           0.271590           0.221710           2.523200           0.526390           0.310710           0.174230           0.067858           1.857500           0.518890           0.359130           0.279300           0.169130           2.489000           0.626060           0.337250           0.194200           0.172820           1.271200           0.318860           0.206600           0.097507           0.032331           1.489800           0.345870
   6.000	           0.348080           0.103880           0.185380           2.626300           0.630360           0.270020           0.273710           0.219890           2.519200           0.534530           0.323700           0.183370           0.071445           1.866800           0.534910           0.364830           0.281570           0.167820           2.481200           0.633230           0.356030           0.208910           0.182790           1.292900           0.339950           0.216100           0.103880           0.035057           1.492600           0.357180
   6.500	           0.355910           0.111060           0.184380           2.621200           0.640480           0.276600           0.276300           0.218140           2.515700           0.543710           0.338080           0.193600           0.075615           1.877800           0.552630           0.371410           0.284420           0.166710           2.473700           0.641480           0.376310           0.224840           0.193560           1.317100           0.362790           0.226680           0.111060           0.038232           1.496600           0.369770
   7.000	           0.364770           0.119110           0.183660           2.617000           0.651880           0.284020           0.279420           0.216520           2.513000           0.554020           0.353900           0.204980           0.080428           1.890900           0.572110           0.378960           0.287960           0.165890           2.467000           0.650910           0.398040           0.241950           0.205120           1.343900           0.387360           0.238380           0.119110           0.041902           1.502000           0.383710
   7.500	           0.374740           0.128080           0.183300           2.613900           0.664670           0.292350           0.283170           0.215100           2.511300           0.565530           0.371230           0.217570           0.085947           1.906200           0.593430           0.387570           0.292260           0.165440           2.461100           0.661630           0.421180           0.260220           0.217450           1.373400           0.413610           0.251250           0.128080           0.046117           1.509100           0.399050
   8.000	           0.385910           0.138020           0.183380           2.612200           0.678950           0.301670           0.287610           0.213940           2.510900           0.578330           0.390120           0.231450           0.092239           1.924000           0.616630           0.397330           0.297420           0.165430           2.456500           0.673750           0.445680           0.279620           0.230520           1.405700           0.441500           0.265340           0.138020           0.050927           1.517900           0.415870
   8.500	           0.398370           0.149010           0.183990           2.612200           0.694800           0.312040           0.292820           0.213110           2.511900           0.592510           0.410620           0.246680           0.099370           1.944400           0.641790           0.408340           0.303550           0.165960           2.453400           0.687360           0.471460           0.300120           0.244300           1.440900           0.470970           0.280710           0.149010           0.056383           1.528900           0.434220
   9.000	           0.412190           0.161090           0.185210           2.614100           0.712330           0.323540           0.298900           0.212690           2.514800           0.608150           0.432770           0.263330           0.107410           1.967800           0.668950           0.420680           0.310750           0.167100           2.452100           0.702580           0.498460           0.321660           0.258770           1.479000           0.501970           0.297400           0.161090           0.062539           1.542200           0.454160
   9.500	           0.427460           0.174320           0.187130           2.618300           0.731630           0.336240           0.305920           0.212750           2.519600           0.625340           0.456640           0.281460           0.116420           1.994400           0.698180           0.434450           0.319110           0.168960           2.452900           0.719510           0.526600           0.344200           0.273890           1.520200           0.534410           0.315450           0.174320           0.069447           1.558100           0.475740
  10.000	           0.444260           0.188760           0.189850           2.625000           0.752790           0.350220           0.313980           0.213380           2.526700           0.644160           0.482260           0.301130           0.126480           2.024500           0.729510           0.449740           0.328740           0.171630           2.456200           0.738250           0.555800           0.367690           0.289630           1.564400           0.568230           0.334910           0.188760           0.077159           1.576800           0.499020
  10.500	           0.462670           0.204460           0.193450           2.634600           0.775910           0.365550           0.323170           0.214670           2.536300           0.664700           0.509670           0.322420           0.137650           2.058100           0.762990           0.466630           0.339730           0.175190           2.462100           0.758900           0.585970           0.392070           0.305940           1.611800           0.603340           0.355810           0.204460           0.085729           1.598600           0.524040
  11.000	           0.482760           0.221470           0.198040           2.647400           0.801060           0.382320           0.333590           0.216700           2.548800           0.687050           0.538910           0.345360           0.149990           2.095700           0.798650           0.485200           0.352200           0.179750           2.471200           0.781540           0.617000           0.417270           0.322790           1.662200           0.639630           0.378180           0.221470           0.095208           1.623700           0.550830
