#206Hg(d,p)207Hg(5/2+ 1.590) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.590) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.590) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.590) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.590) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.590) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.590) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.590) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.590) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.590) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.590) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.590) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.590) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.590) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.590) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.590) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.590) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.590) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.590) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.590) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.590) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.590) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.590) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.590) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.590) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.590) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.590) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.590) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.590) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.590) ELAB= 14.780
   Angel	  Ex=1.590(2d5/2)AK  Ex=1.590(2d5/2)QV  Ex=1.590(2d5/2)AM  Ex=1.590(2d5/2)AG  Ex=1.590(2d5/2)AP  Ex=1.590(2d5/2)HK  Ex=1.590(2d5/2)HV  Ex=1.590(2d5/2)HM  Ex=1.590(2d5/2)HG  Ex=1.590(2d5/2)HP  Ex=1.590(2d5/2)BK  Ex=1.590(2d5/2)BV  Ex=1.590(2d5/2)BM  Ex=1.590(2d5/2)BG  Ex=1.590(2d5/2)BP  Ex=1.590(2d5/2)DK  Ex=1.590(2d5/2)DV  Ex=1.590(2d5/2)DM  Ex=1.590(2d5/2)DG  Ex=1.590(2d5/2)DP  Ex=1.590(2d5/2)LK  Ex=1.590(2d5/2)LV  Ex=1.590(2d5/2)LM  Ex=1.590(2d5/2)LG  Ex=1.590(2d5/2)LP  Ex=1.590(2d5/2)QK  Ex=1.590(2d5/2)QV  Ex=1.590(2d5/2)QM  Ex=1.590(2d5/2)QG  Ex=1.590(2d5/2)QP
   0.500	           2.986400           1.247500           1.366200          10.720000           4.106000           3.772000           2.949400           1.621300          14.666000           5.343200           2.608900           2.059800           1.435000           8.873500           3.484100           2.628800           1.959900           1.246800           9.103800           3.575300           0.874340           0.605190           0.174210           6.936000           1.536100           1.638300           1.247500           0.742470           7.722400           2.405300
   1.000	           2.995500           1.255700           1.375900          10.734000           4.116100           3.782600           2.960600           1.632800          14.680000           5.354600           2.616300           2.068300           1.444100           8.885900           3.492000           2.637200           1.968800           1.255500           9.117800           3.584700           0.881570           0.613060           0.181960           6.947500           1.544400           1.645800           1.255700           0.751000           7.733900           2.413600
   1.500	           3.010500           1.269300           1.391900          10.758000           4.132800           3.800100           2.979300           1.652000          14.702000           5.373300           2.628400           2.082400           1.459200           8.906400           3.505100           2.651000           1.983500           1.269900           9.140900           3.600300           0.893620           0.626200           0.194900           6.966800           1.558300           1.658500           1.269300           0.765190           7.753000           2.427200
   2.000	           3.031400           1.288300           1.414200          10.790000           4.155900           3.824400           3.005400           1.678700          14.734000           5.399300           2.645300           2.102000           1.480100           8.934800           3.523200           2.670200           2.004000           1.290000           9.173000           3.621900           0.910470           0.644610           0.213080           6.993600           1.577700           1.676000           1.288300           0.785020           7.779500           2.446300
   2.500	           3.057800           1.312700           1.442800          10.832000           4.185200           3.855200           3.038500           1.712900          14.773000           5.432300           2.666700           2.127000           1.506900           8.970700           3.546100           2.694600           2.030100           1.315600           9.213700           3.649300           0.932110           0.668310           0.236550           7.027900           1.602500           1.698500           1.312700           0.810450           7.813200           2.470500
   3.000	           3.089600           1.342300           1.477300          10.882000           4.220400           3.892300           3.078600           1.754200          14.821000           5.471800           2.692500           2.157100           1.539400           9.013700           3.573600           2.723900           2.061600           1.346700           9.262700           3.682200           0.958500           0.697320           0.265340           7.069500           1.632700           1.725600           1.342300           0.841400           7.854000           2.499700
   3.500	           3.126400           1.377000           1.517700          10.939000           4.261000           3.935300           3.125200           1.802600          14.876000           5.517500           2.722200           2.192100           1.577300           9.063200           3.605100           2.757800           2.098300           1.383100           9.319400           3.720100           0.989590           0.731610           0.299520           7.118100           1.668200           1.757300           1.377000           0.877780           7.901400           2.533800
   4.000	           3.167900           1.416600           1.563700          11.004000           4.306600           3.983800           3.178100           1.857700          14.937000           5.568800           2.755600           2.231700           1.620400           9.118600           3.640500           2.796000           2.139900           1.424500           9.383200           3.762700           1.025300           0.771180           0.339110           7.173500           1.708700           1.793400           1.416600           0.919490           7.955000           2.572400
   4.500	           3.213400           1.461000           1.615000          11.075000           4.356500           4.037100           3.236700           1.919200          15.005000           5.625200           2.792300           2.275600           1.668400           9.179100           3.679100           2.838100           2.186100           1.470700           9.453500           3.809500           1.065500           0.815950           0.384120           7.235300           1.754200           1.833500           1.461000           0.966340           8.014300           2.615100
   5.000	           3.262600           1.509800           1.671100          11.151000           4.410100           4.094800           3.300600           1.986600          15.077000           5.685700           2.831900           2.323300           1.721000           9.243700           3.720300           2.883400           2.236300           1.521400           9.529300           3.859700           1.110000           0.865840           0.434550           7.303100           1.804200           1.877300           1.509800           1.018200           8.078800           2.661600
