            angle	Ex=1.810(1g9/2)AK	Ex=1.810(3s1/2)AK	Ex=1.810(2d5/2)AK	
              0.00          0.200070          1.754800          1.933500
              0.50          0.200140          1.747000          1.937300
              1.00          0.200350          1.723700          1.948800
              1.50          0.200720          1.685600          1.967900
              2.00          0.201270          1.633400          1.994500
              2.50          0.202020          1.568300          2.028600
              3.00          0.203030          1.491800          2.069900
              3.50          0.204350          1.405600          2.118300
              4.00          0.206020          1.311400          2.173500
              4.50          0.208130          1.211300          2.235200
              5.00          0.210740          1.107100          2.302900
              5.50          0.213950          1.001100          2.376100
              6.00          0.217850          0.895010          2.454300
              6.50          0.222540          0.790790          2.536700
              7.00          0.228130          0.690120          2.622700
              7.50          0.234760          0.594510          2.711400
              8.00          0.242540          0.505280          2.801800
              8.50          0.251620          0.423500          2.893100
              9.00          0.262140          0.350050          2.984200
              9.50          0.274250          0.285520          3.074200
             10.00          0.288120          0.230340          3.162100
             10.50          0.303910          0.184700          3.246900
             11.00          0.321790          0.148650          3.327800
             11.50          0.341920          0.122080          3.404000
             12.00          0.364490          0.104780          3.474900
             12.50          0.389660          0.096455          3.539800
             13.00          0.417620          0.096791          3.598500
             13.50          0.448510          0.105450          3.650600
             14.00          0.482500          0.122130          3.696200
             14.50          0.519730          0.146560          3.735400
             15.00          0.560350          0.178520          3.768400
             15.50          0.604470          0.217860          3.795800
             16.00          0.652180          0.264510          3.818200
             16.50          0.703580          0.318450          3.836300
             17.00          0.758730          0.379710          3.851100
             17.50          0.817640          0.448330          3.863500
             18.00          0.880350          0.524400          3.874600
             18.50          0.946810          0.607950          3.885600
             19.00          1.017000          0.699000          3.897500
             19.50          1.090800          0.797450          3.911500
             20.00          1.168200          0.903150          3.928700
             20.50          1.248900          1.015800          3.950100
             21.00          1.332800          1.134900          3.976800
             21.50          1.419900          1.259900          4.009700
             22.00          1.509700          1.390100          4.049500
             22.50          1.602100          1.524300          4.097000
             23.00          1.696900          1.661700          4.152800
             23.50          1.793700          1.800900          4.217400
             24.00          1.892300          1.940500          4.291200
             24.50          1.992300          2.079000          4.374600
             25.00          2.093600          2.215000          4.467700
             25.50          2.195700          2.346700          4.570700
             26.00          2.298400          2.472600          4.683800
             26.50          2.401400          2.591200          4.806800
             27.00          2.504300          2.700900          4.939900
             27.50          2.606900          2.800500          5.083000
             28.00          2.708900          2.888800          5.235900
             28.50          2.810000          2.964700          5.398600
             29.00          2.910000          3.027600          5.571000
             29.50          3.008600          3.076900          5.752900
             30.00          3.105600          3.112500          5.944100
             30.50          3.200800          3.134200          6.144400
             31.00          3.294100          3.142500          6.353600
             31.50          3.385200          3.137900          6.571300
             32.00          3.474100          3.121300          6.797300
             32.50          3.560500          3.093800          7.031100
             33.00          3.644300          3.056700          7.272300
             33.50          3.725600          3.011600          7.520300
             34.00          3.804100          2.960100          7.774400
             34.50          3.879900          2.904100          8.034000
             35.00          3.952900          2.845500          8.298100
             35.50          4.023100          2.786300          8.566000
             36.00          4.090400          2.728400          8.836600
             36.50          4.154900          2.673900          9.108700
             37.00          4.216600          2.624700          9.381300
             37.50          4.275600          2.582500          9.653000
             38.00          4.331800          2.549300          9.922700
             38.50          4.385400          2.526300         10.189000
             39.00          4.436400          2.515200         10.450000
             39.50          4.484900          2.517000         10.705000
             40.00          4.531000          2.532800         10.953000
             40.50          4.574700          2.563300         11.192000
             41.00          4.616300          2.609000         11.421000
             41.50          4.655800          2.670200         11.638000
             42.00          4.693300          2.747100         11.843000
             42.50          4.729000          2.839300         12.035000
             43.00          4.763000          2.946600         12.213000
             43.50          4.795300          3.068200         12.375000
             44.00          4.826200          3.203500         12.523000
             44.50          4.855700          3.351400         12.654000
             45.00          4.883900          3.510700         12.769000
             45.50          4.911000          3.680100         12.868000
             46.00          4.936900          3.858200         12.951000
             46.50          4.962000          4.043500         13.017000
             47.00          4.986100          4.234400         13.068000
             47.50          5.009300          4.429000         13.104000
             48.00          5.031800          4.625800         13.125000
             48.50          5.053500          4.823000         13.132000
             49.00          5.074500          5.018800         13.125000
             49.50          5.094800          5.211600         13.107000
