            angle	     Ex=0.000,HSS	      Ex=0.000,AC	     Ex=0.000,Boj	     Ex=0.000,DCV	      Ex=0.000,LH	      Ex=0.000,PP	
             94.00          0.062350          0.059350          0.037590          0.064100          0.028530          0.089730
             95.00          0.060270          0.055610          0.033470          0.059830          0.022470          0.084920
             96.00          0.057540          0.051480          0.029710          0.055480          0.018420          0.080830
             97.00          0.054290          0.047200          0.026470          0.051270          0.016440          0.077590
             98.00          0.050690          0.042990          0.023900          0.047380          0.016440          0.075270
             99.00          0.046920          0.039040          0.022050          0.043960          0.018210          0.073860
            100.00          0.043180          0.035540          0.020930          0.041110          0.021400          0.073290
            101.00          0.039640          0.032620          0.020510          0.038890          0.025630          0.073410
            102.00          0.036480          0.030360          0.020680          0.037300          0.030460          0.074050
            103.00          0.033810          0.028790          0.021310          0.036310          0.035420          0.075010
            104.00          0.031700          0.027880          0.022250          0.035840          0.040110          0.076050
            105.00          0.030180          0.027560          0.023320          0.035780          0.044140          0.076960
            106.00          0.029250          0.027730          0.024380          0.036010          0.047250          0.077560
            107.00          0.028850          0.028250          0.025270          0.036380          0.049210          0.077690
            108.00          0.028900          0.028980          0.025870          0.036780          0.049930          0.077260
            109.00          0.029270          0.029770          0.026110          0.037090          0.049390          0.076200
            110.00          0.029850          0.030490          0.025940          0.037200          0.047680          0.074520
            111.00          0.030510          0.031010          0.025340          0.037050          0.044930          0.072270
            112.00          0.031120          0.031240          0.024350          0.036600          0.041370          0.069550
            113.00          0.031590          0.031130          0.023010          0.035830          0.037240          0.066490
            114.00          0.031820          0.030650          0.021420          0.034750          0.032790          0.063230
            115.00          0.031760          0.029800          0.019650          0.033410          0.028300          0.059930
            116.00          0.031370          0.028610          0.017800          0.031850          0.024010          0.056750
            117.00          0.030650          0.027140          0.015990          0.030150          0.020130          0.053830
            118.00          0.029640          0.025460          0.014290          0.028370          0.016830          0.051270
            119.00          0.028360          0.023660          0.012790          0.026600          0.014230          0.049160
            120.00          0.026880          0.021820          0.011530          0.024900          0.012390          0.047560
            121.00          0.025270          0.020040          0.010560          0.023330          0.011340          0.046460
            122.00          0.023620          0.018380          0.009885          0.021940          0.011030          0.045850
            123.00          0.021980          0.016920          0.009506          0.020760          0.011390          0.045670
            124.00          0.020440          0.015690          0.009395          0.019810          0.012340          0.045840
            125.00          0.019060          0.014730          0.009514          0.019100          0.013730          0.046270
            126.00          0.017870          0.014040          0.009810          0.018610          0.015420          0.046850
            127.00          0.016920          0.013630          0.010230          0.018310          0.017290          0.047470
            128.00          0.016200          0.013450          0.010710          0.018180          0.019180          0.048040
            129.00          0.015730          0.013490          0.011190          0.018180          0.020970          0.048470
            130.00          0.015490          0.013690          0.011630          0.018260          0.022550          0.048690
            131.00          0.015440          0.014010          0.011970          0.018380          0.023850          0.048640
            132.00          0.015550          0.014380          0.012200          0.018510          0.024780          0.048300
            133.00          0.015780          0.014770          0.012270          0.018600          0.025330          0.047660
            134.00          0.016080          0.015120          0.012190          0.018630          0.025470          0.046750
            135.00          0.016410          0.015390          0.011950          0.018580          0.025230          0.045590
            136.00          0.016720          0.015560          0.011580          0.018440          0.024640          0.044230
            137.00          0.016970          0.015600          0.011070          0.018190          0.023740          0.042740
            138.00          0.017130          0.015500          0.010480          0.017850          0.022600          0.041170
            139.00          0.017190          0.015260          0.009810          0.017410          0.021280          0.039600
            140.00          0.017130          0.014900          0.009113          0.016900          0.019870          0.038090
            141.00          0.016940          0.014410          0.008415          0.016330          0.018430          0.036690
            142.00          0.016620          0.013840          0.007748          0.015730          0.017010          0.035450
            143.00          0.016200          0.013200          0.007139          0.015110          0.015680          0.034420
            144.00          0.015680          0.012510          0.006609          0.014490          0.014480          0.033600
            145.00          0.015090          0.011820          0.006175          0.013900          0.013430          0.033030
            146.00          0.014450          0.011150          0.005845          0.013350          0.012550          0.032680
            147.00          0.013790          0.010510          0.005624          0.012860          0.011850          0.032560
            148.00          0.013130          0.009937          0.005509          0.012430          0.011320          0.032640
            149.00          0.012490          0.009443          0.005490          0.012070          0.010950          0.032880
            150.00          0.011900          0.009038          0.005557          0.011780          0.010740          0.033250
            151.00          0.011380          0.008729          0.005693          0.011570          0.010660          0.033720
            152.00          0.010930          0.008516          0.005881          0.011420          0.010710          0.034230
            153.00          0.010560          0.008396          0.006101          0.011330          0.010870          0.034750
            154.00          0.010280          0.008359          0.006335          0.011300          0.011150          0.035240
            155.00          0.010090          0.008394          0.006565          0.011310          0.011550          0.035660
            156.00          0.009974          0.008487          0.006778          0.011340          0.012050          0.035990
            157.00          0.009935          0.008622          0.006958          0.011400          0.012680          0.036210
            158.00          0.009960          0.008782          0.007098          0.011470          0.013410          0.036300
            159.00          0.010040          0.008950          0.007189          0.011540          0.014260          0.036250
            160.00          0.010150          0.009113          0.007227          0.011610          0.015180          0.036050
            161.00          0.010290          0.009255          0.007211          0.011650          0.016170          0.035730
            162.00          0.010440          0.009367          0.007140          0.011680          0.017170          0.035270
            163.00          0.010590          0.009439          0.007018          0.011680          0.018140          0.034710
            164.00          0.010740          0.009467          0.006848          0.011660          0.019020          0.034060
            165.00          0.010860          0.009447          0.006635          0.011600          0.019740          0.033340
            166.00          0.010970          0.009380          0.006383          0.011520          0.020260          0.032560
            167.00          0.011050          0.009268          0.006100          0.011410          0.020510          0.031770
            168.00          0.011100          0.009116          0.005791          0.011280          0.020440          0.030970
            169.00          0.011120          0.008932          0.005464          0.011120          0.020050          0.030190
            170.00          0.011120          0.008723          0.005126          0.010950          0.019330          0.029450
            171.00          0.011090          0.008498          0.004784          0.010770          0.018300          0.028750
            172.00          0.011050          0.008267          0.004446          0.010590          0.017010          0.028120
            173.00          0.011000          0.008037          0.004121          0.010410          0.015520          0.027550
            174.00          0.010940          0.007819          0.003818          0.010230          0.013930          0.027060
            175.00          0.010880          0.007620          0.003544          0.010070          0.012350          0.026650
            176.00          0.010820          0.007447          0.003307          0.009929          0.010860          0.026310
            177.00          0.010770          0.007306          0.003114          0.009814          0.009580          0.026050
            178.00          0.010730          0.007202          0.002972          0.009728          0.008594          0.025870
            179.00          0.010710          0.007139          0.002885          0.009676          0.007973          0.025760
