#206Hg(d,p)207Hg(5/2+ 1.200) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.200) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.200) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.200) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.200) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.200) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.200) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.200) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.200) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.200) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.200) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.200) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.200) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.200) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.200) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.200) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.200) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.200) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.200) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.200) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.200) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.200) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.200) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.200) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.200) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.200) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.200) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.200) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.200) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.200) ELAB= 14.780
   Angel	  Ex=1.200(2d5/2)AK  Ex=1.200(2d5/2)QV  Ex=1.200(2d5/2)AM  Ex=1.200(2d5/2)AG  Ex=1.200(2d5/2)AP  Ex=1.200(2d5/2)HK  Ex=1.200(2d5/2)HV  Ex=1.200(2d5/2)HM  Ex=1.200(2d5/2)HG  Ex=1.200(2d5/2)HP  Ex=1.200(2d5/2)BK  Ex=1.200(2d5/2)BV  Ex=1.200(2d5/2)BM  Ex=1.200(2d5/2)BG  Ex=1.200(2d5/2)BP  Ex=1.200(2d5/2)DK  Ex=1.200(2d5/2)DV  Ex=1.200(2d5/2)DM  Ex=1.200(2d5/2)DG  Ex=1.200(2d5/2)DP  Ex=1.200(2d5/2)LK  Ex=1.200(2d5/2)LV  Ex=1.200(2d5/2)LM  Ex=1.200(2d5/2)LG  Ex=1.200(2d5/2)LP  Ex=1.200(2d5/2)QK  Ex=1.200(2d5/2)QV  Ex=1.200(2d5/2)QM  Ex=1.200(2d5/2)QG  Ex=1.200(2d5/2)QP
   0.500	           3.673200           1.624700           1.690500          13.017000           5.057000           4.398300           3.522800           1.918600          17.009000           6.240200           3.310300           2.692200           1.792800          11.183000           4.438800           3.314800           2.566800           1.571500          11.246000           4.516100           1.103300           0.768650           0.271350           7.587400           1.826500           2.065600           1.624700           0.966360           9.000000           2.978300
   1.000	           3.679900           1.631700           1.699000          13.028000           5.064200           4.406400           3.532300           1.928800          17.019000           6.248500           3.315200           2.698700           1.800300          11.192000           4.443800           3.320900           2.574100           1.579100          11.257000           4.522800           1.109100           0.775700           0.278500           7.597700           1.833200           2.071600           1.631700           0.973870           9.010100           2.984600
   1.500	           3.691000           1.643400           1.713000          13.047000           5.076000           4.419800           3.547900           1.945800          17.037000           6.262300           3.323400           2.709600           1.812900          11.207000           4.452000           3.331100           2.586100           1.591700          11.276000           4.533900           1.118900           0.787430           0.290430           7.614800           1.844400           2.081500           1.643400           0.986350           9.026900           2.995000
   2.000	           3.706200           1.659600           1.732500          13.072000           5.092300           4.438300           3.569600           1.969400          17.060000           6.281200           3.334700           2.724600           1.830200          11.227000           4.463200           3.345100           2.602800           1.609200          11.301000           4.549000           1.132500           0.803820           0.307140           7.638500           1.859900           2.095200           1.659600           1.003700           9.050100           3.009400
   2.500	           3.725500           1.680300           1.757300          13.104000           5.112800           4.461700           3.597100           1.999400          17.090000           6.305100           3.348900           2.743600           1.852400          11.253000           4.477300           3.362700           2.623900           1.631600          11.333000           4.568100           1.149900           0.824830           0.328640           7.668600           1.879700           2.112700           1.680300           1.026000           9.079400           3.027600
   3.000	           3.748500           1.705300           1.787300          13.141000           5.137100           4.489700           3.630100           2.035800          17.126000           6.333400           3.365800           2.766400           1.879100          11.283000           4.493800           3.383800           2.649300           1.658500          11.372000           4.590800           1.171000           0.850410           0.354930           7.704700           1.903600           2.133700           1.705300           1.053000           9.114500           3.049400
   3.500	           3.774800           1.734400           1.822300          13.184000           5.164800           4.521900           3.668400           2.078200          17.166000           6.365900           3.385100           2.792700           1.910200          11.316000           4.512500           3.407900           2.678600           1.689900          11.415000           4.616700           1.195700           0.880500           0.385990           7.746500           1.931500           2.158100           1.734400           1.084500           9.154700           3.074500
   4.000	           3.804100           1.767400           1.861800          13.232000           5.195400           4.557800           3.711500           2.126200          17.210000           6.401900           3.406400           2.822200           1.945400          11.353000           4.533000           3.434800           2.711600           1.725500          11.464000           4.645300           1.223800           0.914980           0.421820           7.793400           1.963100           2.185500           1.767400           1.120600           9.199600           3.102700
   4.500	           3.835900           1.804100           1.905700          13.283000           5.228400           4.597000           3.759000           2.179700          17.257000           6.440800           3.429400           2.854600           1.984400          11.392000           4.554700           3.463900           2.747800           1.764900          11.516000           4.676100           1.255400           0.953760           0.462370           7.844900           1.998200           2.215800           1.804100           1.160900           9.248400           3.133500
   5.000	           3.869600           1.844100           1.953600          13.336000           5.263100           4.638800           3.810400           2.238000          17.305000           6.481900           3.453600           2.889300           2.027000          11.433000           4.577200           3.494700           2.786800           1.807900          11.571000           4.708400           1.290000           0.996670           0.507580           7.900400           2.036600           2.248500           1.844100           1.205300           9.300500           3.166600
   5.500	           3.904700           1.887200           2.005000          13.391000           5.298800           4.682600           3.864900           2.300900          17.355000           6.524400           3.478700           2.926100           2.072700          11.473000           4.599800           3.526800           2.828100           1.854100          11.629000           4.741600           1.327600           1.043500           0.557380           7.959200           2.077900           2.283400           1.887200           1.253500           9.355000           3.201400
   6.000	           3.940600           1.933000           2.059500          13.447000           5.334700           4.727800           3.922200           2.367800          17.403000           6.567600           3.504000           2.964300           2.121200          11.513000           4.622000           3.559500           2.871100           1.902900          11.687000           4.775100           1.367900           1.094200           0.611660           8.020500           2.121800           2.319900           1.933000           1.305200           9.411100           3.237500
   6.500	           3.976500           1.981000           2.116500          13.501000           5.370100           4.773600           3.981300           2.438100          17.450000           6.610500           3.529100           3.003500           2.171900          11.551000           4.643200           3.592100           2.915300           1.954100          11.744000           4.807900           1.410600           1.148300           0.670290           8.083400           2.167800           2.357800           1.981000           1.360200           9.467600           3.274400
   7.000	           4.011800           2.031000           2.175600          13.552000           5.404000           4.819200           4.041700           2.511200          17.493000           6.652200           3.553500           3.043100           2.224600          11.585000           4.662600           3.624100           2.960100           2.007000          11.800000           4.839400           1.455500           1.205700           0.733120           8.147000           2.215700           2.396600           2.031000           1.418100           9.523600           3.311500
   7.500	           4.045700           2.082500           2.236200          13.600000           5.435600           4.863800           4.102600           2.586700          17.531000           6.691900           3.576600           3.082700           2.278700          11.615000           4.679700           3.654800           3.004800           2.061200          11.853000           4.868600           1.502200           1.266100           0.799980           8.210400           2.264800           2.435900           2.082500           1.478600           9.578100           3.348300
   8.000	           4.077600           2.135100           2.297800          13.642000           5.464000           4.906800           4.163200           2.663700          17.563000           6.728400           3.597900           3.121700           2.333800          11.639000           4.693800           3.683300           3.048700           2.116100          11.901000           4.894800           1.550500           1.329200           0.870690           8.272600           2.314900           2.475200           2.135100           1.541500           9.630000           3.384100
   8.500	           4.106600           2.188300           2.359600          13.677000           5.488500           4.947200           4.222800           2.741800          17.586000           6.761000           3.616900           3.159600           2.389500          11.655000           4.704400           3.709200           3.091200           2.171100          11.943000           4.917200           1.600100           1.394700           0.945040           8.332600           2.365500           2.514100           2.188300           1.606200           9.678100           3.418600
   9.000	           4.132200           2.241800           2.421300          13.704000           5.508000           4.984300           4.280700           2.820300          17.600000           6.788700           3.633300           3.195800           2.445300          11.664000           4.710800           3.731700           3.131600           2.225900          11.977000           4.934900           1.650700           1.462300           1.022800           8.389300           2.416100           2.552200           2.241800           1.672700           9.721400           3.451200
   9.500	           4.153800           2.295200           2.482100          13.721000           5.521900           5.017500           4.336000           2.898500          17.602000           6.810700           3.646600           3.230100           2.500800          11.663000           4.712600           3.750300           3.169400           2.279800          12.003000           4.947200           1.702000           1.531800           1.103900           8.441700           2.466400           2.589300           2.295200           1.740500           9.758700           3.481500
