#206Hg(d,p)207Hg(5/2+ 1.200) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.200) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.200) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.200) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.200) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.200) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.200) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.200) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.200) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.200) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.200) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.200) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.200) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.200) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.200) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.200) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.200) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.200) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.200) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.200) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.200) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.200) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.200) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.200) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.200) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.200) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.200) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.200) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.200) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.200) ELAB= 14.780
   Angel	  Ex=1.200(2d5/2)AK  Ex=1.200(2d5/2)QV  Ex=1.200(2d5/2)AM  Ex=1.200(2d5/2)AG  Ex=1.200(2d5/2)AP  Ex=1.200(2d5/2)HK  Ex=1.200(2d5/2)HV  Ex=1.200(2d5/2)HM  Ex=1.200(2d5/2)HG  Ex=1.200(2d5/2)HP  Ex=1.200(2d5/2)BK  Ex=1.200(2d5/2)BV  Ex=1.200(2d5/2)BM  Ex=1.200(2d5/2)BG  Ex=1.200(2d5/2)BP  Ex=1.200(2d5/2)DK  Ex=1.200(2d5/2)DV  Ex=1.200(2d5/2)DM  Ex=1.200(2d5/2)DG  Ex=1.200(2d5/2)DP  Ex=1.200(2d5/2)LK  Ex=1.200(2d5/2)LV  Ex=1.200(2d5/2)LM  Ex=1.200(2d5/2)LG  Ex=1.200(2d5/2)LP  Ex=1.200(2d5/2)QK  Ex=1.200(2d5/2)QV  Ex=1.200(2d5/2)QM  Ex=1.200(2d5/2)QG  Ex=1.200(2d5/2)QP
  10.000	           4.170600           2.348300           2.541700          13.727000           5.529500           5.046100           4.388200           2.976000          17.592000           6.826100           3.656600           3.262000           2.555800          11.651000           4.709400           3.764300           3.204000           2.332300          12.019000           4.953400           1.753800           1.602800           1.188000           8.489000           2.516100           2.625000           2.348300           1.809400           9.789200           3.509000
  10.500	           4.182200           2.400800           2.599500          13.720000           5.530100           5.069400           4.436600           3.052100          17.567000           6.834300           3.663000           3.291200           2.609900          11.628000           4.701000           3.773400           3.235000           2.383200          12.024000           4.953000           1.806100           1.675300           1.275100           8.530100           2.564800           2.659100           2.400800           1.879200           9.811800           3.533500
  11.000	           4.188400           2.452400           2.655200          13.700000           5.523300           5.087200           4.480800           3.126500          17.528000           6.834600           3.665700           3.317600           2.662800          11.592000           4.687200           3.777200           3.261800           2.432000          12.016000           4.945600           1.858700           1.748900           1.364900           8.564400           2.612400           2.691600           2.452400           1.949800           9.825800           3.554700
  11.500	           4.188700           2.503200           2.708500          13.664000           5.508600           5.098900           4.520200           3.198700          17.471000           6.826700           3.664900           3.341000           2.714600          11.543000           4.667900           3.775400           3.284200           2.478300          11.995000           4.930700           1.911500           1.823700           1.457400           8.590900           2.658800           2.722300           2.503200           2.021100           9.830400           3.572700
  12.000	           4.183000           2.553100           2.759000          13.614000           5.485900           5.104400           4.554700           3.268400          17.398000           6.810300           3.660600           3.361600           2.765100          11.481000           4.643300           3.768000           3.302000           2.522200          11.959000           4.908100           1.964700           1.899500           1.552500           8.609100           2.703800           2.751500           2.553100           2.093100           9.825000           3.587400
  12.500	           4.171400           2.602200           2.806600          13.547000           5.455100           5.103700           4.583900           3.335300          17.306000           6.785100           3.653100           3.379300           2.814400          11.404000           4.613600           3.755000           3.315100           2.563300          11.908000           4.878000           2.018400           1.976300           1.650300           8.618600           2.747600           2.779300           2.602200           2.165800           9.809200           3.598900
  13.000	           4.154000           2.650600           2.851400          13.463000           5.416300           5.096700           4.607800           3.399400          17.196000           6.751200           3.642900           3.394500           2.862600          11.314000           4.579300           3.736400           3.323600           2.601800          11.842000           4.840300           2.072800           2.054300           1.750600           8.618900           2.790300           2.806000           2.650600           2.239300           9.782600           3.607600
  13.500	           4.131100           2.698700           2.893300          13.362000           5.369800           5.083700           4.626400           3.460500          17.066000           6.708900           3.630500           3.407600           2.910000          11.210000           4.541000           3.712800           3.327600           2.637700          11.760000           4.795300           2.128200           2.133700           1.853700           8.609900           2.832200           2.832000           2.698700           2.313900           9.745300           3.613800
  14.000	           4.103100           2.746900           2.932400          13.243000           5.316100           5.065000           4.640000           3.518800          16.917000           6.658300           3.616500           3.419100           2.956700          11.092000           4.499500           3.684500           3.327500           2.671300          11.662000           4.743700           2.185100           2.214500           1.959600           8.591500           2.873600           2.857900           2.746900           2.389700           9.697200           3.618200
  14.500	           4.070600           2.795600           2.969200          13.108000           5.255700           5.041200           4.648800           3.574400          16.749000           6.600200           3.601900           3.429500           3.003300          10.962000           4.455500           3.652200           3.323600           2.702700          11.548000           4.685900           2.243800           2.297200           2.068500           8.563900           2.915100           2.884300           2.795600           2.467200           9.638500           3.621400
  15.000	           4.034500           2.845400           3.003700          12.956000           5.189500           5.012800           4.653200           3.627500          16.563000           6.535300           3.587500           3.439500           3.050200          10.819000           4.410200           3.616500           3.316500           2.732400          11.418000           4.622800           2.305000           2.382000           2.180500           8.527300           2.957200           2.911900           2.845400           2.546600           9.569800           3.624200
  15.500	           3.995500           2.896700           3.036600          12.789000           5.118400           4.980800           4.653800           3.678300          16.358000           6.464300           3.574400           3.450100           3.097900          10.665000           4.364600           3.578500           3.306900           2.760900          11.274000           4.555500           2.369200           2.469300           2.295700           8.482200           3.000400           2.941600           2.896700           2.628400           9.491600           3.627400
  16.000	           3.954600           2.950400           3.068300          12.605000           5.043500           4.945900           4.651300           3.727300          16.136000           6.388300           3.563600           3.461900           3.146900          10.500000           4.320100           3.539000           3.295600           2.788600          11.116000           4.484800           2.437100           2.559500           2.414500           8.429200           3.045600           2.974200           2.950400           2.713000           9.404600           3.632200
  16.500	           3.913000           3.007200           3.099200          12.408000           4.966100           4.909100           4.646200           3.774800          15.897000           6.308500           3.556200           3.475900           3.197900          10.327000           4.277900           3.499300           3.283400           2.816100          10.944000           4.412200           2.509200           2.653000           2.536800           8.368900           3.093500           3.010700           3.007200           2.800800           9.309700           3.639400
  17.000	           3.871700           3.067600           3.130000          12.198000           4.887400           4.871600           4.639600           3.821300          15.644000           6.226000           3.553500           3.493100           3.251400          10.147000           4.239400           3.460400           3.271200           2.844100          10.760000           4.339000           2.586300           2.750300           2.662900           8.302300           3.144700           3.051900           3.067600           2.892300           9.208100           3.650200
  17.500	           3.832000           3.132400           3.161300          11.977000           4.809000           4.834300           4.632000           3.867300          15.377000           6.142400           3.556600           3.514300           3.308000           9.961100           4.206100           3.423500           3.259900           2.873200          10.566000           4.266400           2.668900           2.851700           2.792900           8.230300           3.200100           3.098800           3.132400           2.987800           9.100800           3.665800
  18.000	           3.795100           3.202300           3.193700          11.746000           4.732200           4.798600           4.624600           3.913200          15.098000           6.058800           3.566700           3.540600           3.368200           9.771200           4.179300           3.390000           3.250700           2.904000          10.363000           4.196100           2.757600           2.957500           2.926800           8.154000           3.260500           3.152300           3.202300           3.087600           8.989200           3.687100
  18.500	           3.762300           3.277900           3.227800          11.507000           4.658500           4.765600           4.618000           3.959500          14.808000           5.976900           3.584800           3.572700           3.432500           9.579200           4.160400           3.361000           3.244400           2.937200          10.153000           4.129400           2.853000           3.068100           3.064500           8.074500           3.326400           3.213300           3.277900           3.192200           8.874600           3.715400
  19.000	           3.734800           3.359800           3.264200          11.261000           4.589500           4.736300           4.613400           4.006700          14.511000           5.898000           3.612100           3.611600           3.501500           9.387000           4.150700           3.337900           3.242100           2.973300           9.936500           4.067900           2.955400           3.183600           3.205900           7.992900           3.398600           3.282500           3.359800           3.301600           8.758500           3.751600
  19.500	           3.713700           3.448500           3.303300          11.012000           4.526600           4.712100           4.611400           4.055200          14.207000           5.823600           3.649400           3.658000           3.575400           9.196600           4.151500           3.321700           3.244700           3.013000           9.716700           4.013100           3.065300           3.304200           3.350900           7.910600           3.477700           3.360700           3.448500           3.416100           8.642300           3.796700
  20.000	           3.700400           3.544400           3.345800          10.760000           4.471300           4.693900           4.613000           4.105300          13.900000           5.755200           3.697700           3.712500           3.654500           9.009900           4.163800           3.313700           3.253100           3.056600           9.495100           3.966300           3.182800           3.430000           3.499100           7.828700           3.564100           3.448400           3.544400           3.535600           8.527500           3.851600
  20.500	           3.695700           3.647900           3.391900          10.508000           4.424900           4.682800           4.618900           4.157400          13.590000           5.694100           3.757600           3.775800           3.739100           8.828900           4.188900           3.314800           3.268100           3.104700           9.273800           3.928900           3.308000           3.560900           3.650300           7.748500           3.658200           3.546300           3.647900           3.660200           8.415700           3.917100
  21.000	           3.700600           3.759100           3.442100          10.259000           4.388800           4.679800           4.629800           4.211800          13.281000           5.641600           3.829700           3.848200           3.829300           8.655600           4.227400           3.326100           3.290500           3.157600           9.054900           3.902300           3.441100           3.696700           3.803800           7.671200           3.760400           3.654600           3.759100           3.789700           8.308400           3.993900
  21.500	           3.716100           3.878200           3.496700          10.014000           4.364100           4.685600           4.646600           4.268600          12.975000           5.599000           3.914600           3.930100           3.925000           8.491800           4.280300           3.348400           3.321000           3.215600           8.840400           3.887500           3.581800           3.837300           3.959200           7.598100           3.870600           3.773600           3.878200           3.923900           8.207100           4.082400
  22.000	           3.742900           4.005100           3.555800           9.775600           4.351900           4.701200           4.669700           4.328100          12.673000           5.567300           4.012400           4.021800           4.026200           8.339300           4.348000           3.382500           3.360200           3.278900           8.632400           3.885600           3.729800           3.982200           4.115900           7.530400           3.989100           3.903500           4.005100           4.062500           8.113400           4.183200
  22.500	           3.781600           4.139900           3.619700           9.546000           4.353200           4.727000           4.699600           4.390400          12.380000           5.547700           4.123300           4.123300           4.132800           8.200000           4.430900           3.428800           3.408600           3.347600           8.433000           3.897500           3.884900           4.131100           4.273000           7.469100           4.115600           4.044200           4.139900           4.205000           8.028700           4.296500
  23.000	           3.832700           4.282200           3.688400           9.327200           4.368900           4.763800           4.736900           4.455500          12.096000           5.541000           4.247200           4.234600           4.244400           8.075500           4.529500           3.488000           3.466400           3.421900           8.244300           3.924100           4.046400           4.283300           4.429900           7.415400           4.250000           4.195600           4.282200           4.351100           7.954400           4.422500
  23.500	           3.896600           4.431800           3.761900           9.121500           4.399500           4.811900           4.782000           4.523600          11.824000           5.548100           4.384100           4.355600           4.360700           7.967300           4.643600           3.560300           3.534100           3.501600           8.068200           3.965900           4.213800           4.438400           4.585900           7.370300           4.392000           4.357400           4.431800           4.500100           7.891900           4.561100
  24.000	           3.973500           4.588400           3.840300           8.930900           4.445600           4.871800           4.835000           4.594600          11.567000           5.569500           4.533600           4.486000           4.481400           7.877100           4.773300           3.646000           3.611900           3.586800           7.906700           4.023400           4.386500           4.595600           4.740000           7.334900           4.541100           4.529200           4.588400           4.651600           7.842500           4.712200
  24.500	           4.063600           4.751500           3.923500           8.757300           4.507600           4.943500           4.896400           4.668500          11.326000           5.606000           4.695400           4.625600           4.606100           7.806100           4.918400           3.745100           3.699700           3.677300           7.761700           4.097100           4.563500           4.754400           4.891500           7.310000           4.696700           4.710700           4.751500           4.805000           7.807500           4.875600
  25.000	           4.166800           4.920700           4.011200           8.602700           4.585900           5.027300           4.966400           4.745400          11.104000           5.657800           4.868700           4.773800           4.734300           7.755700           5.078400           3.857700           3.797700           3.773000           7.635000           4.187100           4.744200           4.913900           5.039500           7.296400           4.858400           4.901100           4.920700           4.959700           7.788100           5.051000
  25.500	           4.283100           5.095400           4.103600           8.468800           4.680400           5.123300           5.044900           4.825200          10.903000           5.725200           5.053000           4.930200           4.865500           7.726900           5.252900           3.983500           3.905800           3.873700           7.528200           4.293400           4.927600           5.073500           5.183500           7.295100           5.025500           5.100000           5.095400           5.115100           7.785500           5.237900
  26.000	           4.412200           5.275100           4.200300           8.357400           4.791200           5.231400           5.132300           4.907900          10.725000           5.808600           5.247600           5.094400           4.999300           7.720800           5.441300           4.122400           4.023800           3.979200           7.443000           4.416100           5.112800           5.232400           5.322600           7.306600           5.197100           5.306500           5.275100           5.270700           7.800800           5.435800
  26.500	           4.553800           5.459400           4.301300           8.270000           4.918200           5.351400           5.228500           4.993600          10.572000           5.907900           5.451600           5.265700           5.135300           7.738300           5.642700           4.273900           4.151700           4.089300           7.381000           4.554900           5.298900           5.390000           5.456300           7.331700           5.372700           5.520000           5.459400           5.426000           7.834800           5.644000
  27.000	           4.707600           5.647500           4.406500           8.208100           5.061000           5.483300           5.333600           5.082400          10.446000           6.023200           5.664200           5.443400           5.273000           7.780100           5.856400           4.437700           4.289000           4.203800           7.343400           4.709500           5.485100           5.545700           5.584100           7.371100           5.551400           5.739700           5.647500           5.580500           7.888700           5.861900
  27.500	           4.873100           5.839100           4.515700           8.173100           5.219300           5.626700           5.447600           5.174200          10.348000           6.154200           5.884500           5.627100           5.412000           7.846800           6.081400           4.613200           4.435700           4.322500           7.331500           4.879400           5.670500           5.698900           5.705400           7.425100           5.732400           5.964900           5.839100           5.733900           7.963200           6.088800
  28.000	           5.049800           6.033600           4.628700           8.165900           5.392600           5.781400           5.570500           5.269300          10.279000           6.300700           6.111400           5.816100           5.552000           7.938900           6.316900           4.799800           4.591200           4.445100           7.346500           5.064200           5.854200           5.849100           5.820100           7.494200           5.915000           6.194700           6.033600           5.885900           8.059000           6.323900
  28.500	           5.236900           6.230600           4.745600           8.187700           5.580300           5.946900           5.702200           5.367800          10.242000           6.462400           6.344000           6.009700           5.692600           8.056700           6.561600           4.996800           4.755300           4.571600           7.389100           5.263100           6.035500           5.995800           5.928000           7.578900           6.098500           6.428300           6.230600           6.036100           8.176800           6.566400
  29.000	           5.433900           6.429600           4.866100           8.239200           5.781600           6.123000           5.842600           5.469800          10.237000           6.638800           6.581400           6.207300           5.833700           8.200400           6.814500           5.203600           4.927600           4.701800           7.460200           5.475500           6.213700           6.138700           6.028900           7.679400           6.282100           6.665000           6.429600           6.184600           8.317200           6.815500
  29.500	           5.640000           6.630200           4.990300           8.321000           5.995800           6.308900           5.991700           5.575500          10.265000           6.829300           6.822500           6.408300           5.975000           8.369900           7.074500           5.419300           5.107500           4.835400           7.560400           5.700300           6.388200           6.277500           6.122900           7.795900           6.465100           6.904100           6.630200           6.331100           8.480600           7.070400
  30.000	           5.854400           6.832000           5.118000           8.433500           6.222000           6.504400           6.149300           5.685100          10.327000           7.033400           7.066300           6.612100           6.116200           8.565100           7.340300           5.643200           5.294700           4.972300           7.689900           5.936900           6.558300           6.412000           6.210200           7.928400           6.646900           7.144700           6.832000           6.475700           8.667100           7.330000
  30.500	           6.076300           7.034700           5.249200           8.576700           6.459000           6.708600           6.315100           5.798900          10.423000           7.250200           7.311800           6.818100           6.257300           8.785500           7.610800           5.874300           5.488700           5.112500           7.849000           6.184000           6.723600           6.542100           6.291000           8.076900           6.826900           7.386200           7.034700           6.618500           8.877000           7.593700
  31.000	           6.304800           7.238000           5.383800           8.750700           6.706000           6.921100           6.489000           5.916900          10.554000           7.478800           7.558200           7.025600           6.398200           9.030600           7.884800           6.111700           5.688800           5.255700           8.037500           6.440600           6.883700           6.667800           6.365700           8.241400           7.004400           7.628000           7.238000           6.759400           9.110100           7.860500
  31.500	           6.538900           7.441600           5.521700           8.955100           6.961700           7.141100           6.670600           6.039400          10.719000           7.718400           7.804300           7.234100           6.538700           9.299700           8.160900           6.354500           5.894500           5.401800           8.255100           6.705500           7.038200           6.789000           6.434800           8.421400           7.179000           7.869200           7.441600           6.898800           9.366300           8.129500
  32.000	           6.777800           7.645200           5.662800           9.189200           7.224800           7.367700           6.859600           6.166500          10.918000           7.967900           8.049300           7.443000           6.678800           9.591700           8.438000           6.601600           6.105200           5.550700           8.501100           6.977400           7.186800           6.906000           6.498600           8.616600           7.350100           8.109300           7.645200           7.036700           9.645100           8.399700
  32.500	           7.020300           7.848600           5.806800           9.452100           7.494100           7.600300           7.055500           6.298100          11.151000           8.226200           8.292100           7.651700           6.818300           9.905400           8.714700           6.852100           6.320200           5.702000           8.774900           7.255200           7.329500           7.018700           6.557900           8.826500           7.517400           8.347700           7.848600           7.173400           9.945900           8.670400
  33.000	           7.265400           8.051400           5.953600           9.742700           7.768200           7.837800           7.257800           6.434500          11.416000           8.491900           8.531900           7.859500           6.957200          10.240000           8.989900           7.104800           6.538700           5.855600           9.075100           7.537300           7.465900           7.127400           6.613200           9.050200           7.680300           8.583700           8.051400           7.309000          10.268000           8.940500
  33.500	           7.512000           8.253400           6.103000          10.060000           8.045700           8.079300           7.465900           6.575400          11.712000           8.763800           8.767800           8.065900           7.095400          10.592000           9.262200           7.358600           6.760100           6.011200           9.400500           7.822300           7.596100           7.232300           6.665100           9.287000           7.838600           8.816800           8.253400           7.443700          10.610000           9.209100
  34.000	           7.758900           8.454200           6.254600          10.401000           8.325000           8.323800           7.679100           6.720800          12.037000           9.040600           8.998800           8.270300           7.232600          10.962000           9.530300           7.612300           6.983400           6.168500           9.749500           8.108800           7.720000           7.333600           6.714300           9.535800           7.991800           9.046300           8.454200           7.577800          10.971000           9.475400
  34.500	           8.005000           8.653600           6.408000          10.765000           8.604700           8.570300           7.896700           6.870300          12.391000           9.320700           9.224100           8.471900           7.368800          11.347000           9.793100           7.864900           7.207800           6.327000          10.120000           8.395300           7.837500           7.431400           6.761300           9.795400           8.139700           9.271500           8.653600           7.711200          11.349000           9.738300
