#206Hg(d,p)207Hg(5/2+ 2.340) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.340) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.340) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.340) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.340) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.340) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.340) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.340) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.340) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.340) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.340) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.340) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.340) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.340) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.340) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.340) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.340) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.340) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.340) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.340) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.340) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.340) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.340) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.340) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.340) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.340) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.340) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.340) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.340) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.340) ELAB= 14.780
   Angel	  Ex=2.340(2d5/2)AK  Ex=2.340(2d5/2)QV  Ex=2.340(2d5/2)AM  Ex=2.340(2d5/2)AG  Ex=2.340(2d5/2)AP  Ex=2.340(2d5/2)HK  Ex=2.340(2d5/2)HV  Ex=2.340(2d5/2)HM  Ex=2.340(2d5/2)HG  Ex=2.340(2d5/2)HP  Ex=2.340(2d5/2)BK  Ex=2.340(2d5/2)BV  Ex=2.340(2d5/2)BM  Ex=2.340(2d5/2)BG  Ex=2.340(2d5/2)BP  Ex=2.340(2d5/2)DK  Ex=2.340(2d5/2)DV  Ex=2.340(2d5/2)DM  Ex=2.340(2d5/2)DG  Ex=2.340(2d5/2)DP  Ex=2.340(2d5/2)LK  Ex=2.340(2d5/2)LV  Ex=2.340(2d5/2)LM  Ex=2.340(2d5/2)LG  Ex=2.340(2d5/2)LP  Ex=2.340(2d5/2)QK  Ex=2.340(2d5/2)QV  Ex=2.340(2d5/2)QM  Ex=2.340(2d5/2)QG  Ex=2.340(2d5/2)QP
   5.500	           1.830500           0.811210           0.993950           6.704100           2.455800           2.599400           1.971100           1.279100           9.949500           3.590400           1.497700           1.151600           1.034500           5.242600           1.931300           1.518400           1.071200           0.869950           5.563700           2.015500           0.809200           0.687400           0.354610           6.382200           1.377000           1.061300           0.811210           0.598060           5.776000           1.568300
   6.000	           1.926100           0.884200           1.080000           6.844700           2.562800           2.707700           2.075100           1.380500          10.093000           3.708900           1.580300           1.235100           1.119600           5.369100           2.022200           1.606500           1.154200           0.947610           5.696100           2.114900           0.882420           0.756750           0.423700           6.484700           1.458900           1.137100           0.884200           0.674490           5.874700           1.650600
   6.500	           2.027600           0.963830           1.172400           6.995300           2.676300           2.822800           2.186500           1.489300          10.246000           3.834700           1.668100           1.324500           1.210800           5.504300           2.118600           1.700100           1.243200           1.031200           5.838400           2.220400           0.962530           0.833480           0.500260           6.597400           1.548100           1.219100           0.963830           0.757750           5.982300           1.739600
   7.000	           2.134100           1.049800           1.270500           7.153600           2.795000           2.943600           2.304300           1.604900          10.406000           3.965900           1.760300           1.419200           1.307600           5.646200           2.219600           1.798500           1.337600           1.120200           5.988400           2.331100           1.049200           0.917470           0.584200           6.718900           1.644300           1.306700           1.049800           0.847490           6.098200           1.834000
   7.500	           2.244500           1.141500           1.373600           7.319400           2.917900           3.068900           2.427700           1.726400          10.575000           4.102100           1.856100           1.518400           1.409300           5.794500           2.324000           1.900700           1.436600           1.213900           6.146100           2.445800           1.142100           1.008500           0.675340           6.849700           1.747000           1.399400           1.141500           0.943270           6.221700           1.933800
   8.000	           2.357500           1.238500           1.480900           7.490900           3.043500           3.197500           2.555600           1.852900          10.748000           4.241400           1.954300           1.621300           1.515100           5.947400           2.430900           2.005500           1.539300           1.311500           6.309700           2.563200           1.240600           1.106100           0.773400           6.988800           1.855500           1.496400           1.238500           1.044500           6.351800           2.037900
   8.500	           2.472000           1.340000           1.591300           7.666300           3.170400           3.328000           2.686800           1.983400          10.925000           4.382300           2.054000           1.726800           1.624100           6.103400           2.538900           2.111800           1.644700           1.412200           6.477500           2.682000           1.344000           1.209900           0.877970           7.135100           1.969000           1.596800           1.340000           1.150600           6.487600           2.145200
   9.000	           2.586500           1.445200           1.703900           7.843600           3.297100           3.458800           2.820000           2.116700          11.104000           4.523200           2.154000           1.834000           1.735400           6.260800           2.646800           2.218200           1.751600           1.514900           6.647900           2.800600           1.451700           1.319300           0.988570           7.287600           2.086700           1.699700           1.445200           1.260900           6.627800           2.254800
   9.500	           2.699600           1.553300           1.817600           8.021000           3.421900           3.588400           2.953800           2.251600          11.282000           4.662400           2.253100           1.941700           1.848000           6.417700           2.753200           2.323400           1.858800           1.618800           6.818900           2.917700           1.562700           1.433600           1.104600           7.444800           2.207600           1.804000           1.553300           1.374400           6.770800           2.365500
  10.000	           2.809900           1.663300           1.931300           8.196200           3.543200           3.715300           3.086900           2.387100          11.457000           4.797900           2.350200           2.049000           1.961000           6.572300           2.856800           2.426000           1.965300           1.722800           6.988500           3.031600           1.676300           1.552000           1.225600           7.605400           2.330600           1.908800           1.663300           1.490500           6.915300           2.476200
  10.500	           2.916000           1.774300           2.044000           8.367100           3.659500           3.838000           3.217900           2.521800          11.627000           4.928200           2.444100           2.154700           2.073400           6.722700           2.956400           2.524800           2.069700           1.825800           7.154800           3.140800           1.791500           1.673700           1.350800           7.767800           2.454800           2.013000           1.774300           1.608300           7.059500           2.585500
  11.000	           3.016500           1.885600           2.154600           8.531600           3.769100           3.954900           3.345400           2.654800          11.790000           5.051600           2.533800           2.258000           2.184400           6.867000           3.050700           2.618300           2.171000           1.927000           7.315600           3.243900           1.907400           1.798200           1.479600           7.930300           2.579000           2.115600           1.885600           1.727100           7.201900           2.692600
  11.500	           3.110200           1.996100           2.262200           8.687500           3.870700           4.064700           3.468200           2.784800          11.942000           5.166500           2.618400           2.357900           2.293300           7.003400           3.138700           2.705600           2.268000           2.025500           7.468900           3.339500           2.023300           1.924500           1.611500           8.091500           2.702400           2.215800           1.996100           1.846200           7.340700           2.796200
  12.000	           3.196200           2.105400           2.366100           8.832700           3.963100           4.166200           3.585200           2.911100          12.083000           5.271400           2.697300           2.453700           2.399500           7.130200           3.219500           2.785500           2.359900           2.120400           7.612700           3.426400           2.138500           2.052100           1.745900           8.249500           2.824000           2.312700           2.105400           1.965000           7.474400           2.895400
  12.500	           3.273400           2.212700           2.465500           8.965300           4.045100           4.258400           3.695300           3.032800          12.209000           5.365100           2.769800           2.544900           2.502400           7.245900           3.292500           2.857200           2.446000           2.211400           7.745200           3.503600           2.252300           2.180300           1.882400           8.402800           2.943100           2.405800           2.212700           2.083100           7.601300           2.989600
