#206Hg(d,p)207Hg(5/2+ 1.800) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.800) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.800) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.800) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.800) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.800) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.800) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.800) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.800) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.800) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.800) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.800) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.800) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.800) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.800) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.800) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.800) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.800) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.800) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.800) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.800) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.800) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.800) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.800) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.800) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.800) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.800) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.800) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.800) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.800) ELAB= 14.780
   Angel	  Ex=1.800(2d5/2)AK  Ex=1.800(2d5/2)QV  Ex=1.800(2d5/2)AM  Ex=1.800(2d5/2)AG  Ex=1.800(2d5/2)AP  Ex=1.800(2d5/2)HK  Ex=1.800(2d5/2)HV  Ex=1.800(2d5/2)HM  Ex=1.800(2d5/2)HG  Ex=1.800(2d5/2)HP  Ex=1.800(2d5/2)BK  Ex=1.800(2d5/2)BV  Ex=1.800(2d5/2)BM  Ex=1.800(2d5/2)BG  Ex=1.800(2d5/2)BP  Ex=1.800(2d5/2)DK  Ex=1.800(2d5/2)DV  Ex=1.800(2d5/2)DM  Ex=1.800(2d5/2)DG  Ex=1.800(2d5/2)DP  Ex=1.800(2d5/2)LK  Ex=1.800(2d5/2)LV  Ex=1.800(2d5/2)LM  Ex=1.800(2d5/2)LG  Ex=1.800(2d5/2)LP  Ex=1.800(2d5/2)QK  Ex=1.800(2d5/2)QV  Ex=1.800(2d5/2)QM  Ex=1.800(2d5/2)QG  Ex=1.800(2d5/2)QP
   5.500	           2.939100           1.363400           1.549500           9.916000           3.948200           3.790700           3.031800           1.881800          13.707000           5.229000           2.510400           2.045500           1.589600           8.083600           3.271100           2.563300           1.963300           1.396300           8.411900           3.410000           1.062300           0.851270           0.450420           7.051200           1.729500           1.701700           1.363400           0.956260           7.428800           2.412100
   6.000	           3.004400           1.425700           1.620000          10.017000           4.020100           3.866300           3.113100           1.966000          13.804000           5.309300           2.564500           2.107900           1.657000           8.170400           3.328600           2.623700           2.027800           1.460000           8.510600           3.477400           1.121100           0.914970           0.514590           7.137400           1.795300           1.759400           1.425700           1.022000           7.510200           2.473700
   6.500	           3.072200           1.492200           1.694700          10.121000           4.094500           3.945100           3.198600           2.055300          13.903000           5.392600           2.620600           2.173500           1.728200           8.260500           3.387800           2.686500           2.095600           1.527500           8.613500           3.547100           1.184300           0.983910           0.584430           7.229500           1.865700           1.820300           1.492200           1.092500           7.595900           2.538600
   7.000	           3.141700           1.562400           1.772800          10.228000           4.170200           4.025900           3.287500           2.148800          14.004000           5.477600           2.678200           2.241600           1.802800           8.351300           3.448000           2.750800           2.166000           1.598200           8.719400           3.618300           1.251500           1.057800           0.659800           7.325500           1.940000           1.884100           1.562400           1.167200           7.685000           2.605600
   7.500	           3.211900           1.635800           1.853700          10.336000           4.246300           4.108000           3.378800           2.246000          14.105000           5.563100           2.736300           2.311500           1.880100           8.442800           3.508300           2.815800           2.238200           1.671400           8.826700           3.689700           1.322300           1.136400           0.740460           7.426000           2.017800           1.950000           1.635800           1.245900           7.776500           2.674700
   8.000	           3.281800           1.711800           1.936700          10.443000           4.321600           4.190100           3.471700           2.346000          14.205000           5.648100           2.794200           2.382400           1.959600           8.533100           3.567700           2.880500           2.311300           1.746600           8.934100           3.760400           1.396200           1.219300           0.826170           7.529400           2.098400           2.017600           1.711800           1.328000           7.869300           2.744900
   8.500	           3.350400           1.790000           2.021000          10.548000           4.395000           4.271300           3.565200           2.448100          14.302000           5.731100           2.851200           2.453600           2.040500           8.620700           3.625300           2.944000           2.384700           1.822900           9.040100           3.829300           1.472700           1.306000           0.916610           7.634800           2.181300           2.086100           1.790000           1.413100           7.962300           2.815400
   9.000	           3.416800           1.869600           2.105900          10.649000           4.465100           4.350300           3.658200           2.551300          14.393000           5.811000           2.906500           2.524500           2.122300           8.704200           3.680200           3.005400           2.457300           1.899700           9.142900           3.895300           1.551400           1.396200           1.011500           7.741100           2.265800           2.154800           1.869600           1.500600           8.054200           2.885400
   9.500	           3.480000           1.950100           2.190700          10.745000           4.531000           4.426200           3.749800           2.654800          14.478000           5.886400           2.959400           2.594100           2.204200           8.782100           3.731600           3.063800           2.528400           1.976400           9.240900           3.957200           1.631600           1.489400           1.110400           7.847000           2.351200           2.223200           1.950100           1.590100           8.143800           2.954200
  10.000	           3.538900           2.031000           2.274500          10.833000           4.591400           4.497900           3.838900           2.757800          14.555000           5.956100           3.009200           2.662000           2.285800           8.852900           3.778600           3.118100           2.597100           2.052100           9.332600           4.014000           1.713000           1.585000           1.213000           7.951400           2.436800           2.290700           2.031000           1.681100           8.229800           3.021000
  10.500	           3.592800           2.111700           2.356700          10.912000           4.645300           4.564400           3.924700           2.859500          14.620000           6.019000           3.055200           2.727500           2.366400           8.915100           3.820500           3.167700           2.662600           2.126200           9.416100           4.064600           1.795000           1.682700           1.319000           8.053000           2.522100           2.356600           2.111700           1.773100           8.311000           3.085100
  11.000	           3.640900           2.191700           2.436600          10.981000           4.691800           4.624900           4.006300           2.959200          14.674000           6.074100           3.097100           2.790000           2.445600           8.967500           3.856700           3.211700           2.724200           2.198200           9.490100           4.108300           1.877200           1.782000           1.428100           8.150600           2.606400           2.420500           2.191700           1.865800           8.386000           3.146000
  11.500	           3.682400           2.270600           2.513700          11.037000           4.730100           4.678500           4.082800           3.056300          14.714000           6.120300           3.134500           2.849200           2.523100           9.008900           3.886800           3.249600           2.781300           2.267600           9.552800           4.144200           1.959300           1.882600           1.539900           8.243000           2.689300           2.482100           2.270600           1.958900           8.453800           3.203100
  12.000	           3.716900           2.348300           2.587600          11.079000           4.759400           4.724600           4.153800           3.150200          14.738000           6.156900           3.167100           2.904800           2.598600           9.038200           3.910400           3.280900           2.833400           2.334000           9.603100           4.171600           2.041000           1.984100           1.654300           8.329200           2.770300           2.541100           2.348300           2.052100           8.513400           3.256100
  12.500	           3.744000           2.424400           2.657900          11.107000           4.779300           4.762900           4.218600           3.240500          14.745000           6.183400           3.194900           2.956600           2.672000           9.054500           3.927400           3.305200           2.880100           2.397100           9.639600           4.190300           2.122100           2.086400           1.771100           8.408000           2.849200           2.597300           2.424400           2.145300           8.563600           3.304600
  13.000	           3.763600           2.499000           2.724500          11.118000           4.789600           4.792900           4.276900           3.326900          14.735000           6.199300           3.218100           3.004700           2.743200           9.057200           3.937900           3.322500           2.921300           2.456700           9.661400           4.199800           2.202600           2.189300           1.890100           8.478600           2.925800           2.650800           2.499000           2.238500           8.603800           3.348800
  13.500	           3.775700           2.572100           2.787300          11.113000           4.790200           4.814700           4.328600           3.409200          14.705000           6.204400           3.237000           3.049300           2.812400           9.045700           3.942200           3.332700           2.956900           2.513000           9.667500           4.200300           2.282600           2.292700           2.011500           8.540200           3.000100           2.701800           2.572100           2.331900           8.633400           3.388600
  14.000	           3.780500           2.644000           2.846400          11.090000           4.781200           4.828400           4.373600           3.487500          14.655000           6.198800           3.252100           3.090800           2.880000           9.020000           3.940700           3.336200           2.987100           2.566000           9.657400           4.191800           2.362300           2.396800           2.135200           8.592200           3.072000           2.750600           2.644000           2.425600           8.651800           3.424400
  14.500	           3.778500           2.715000           2.902000          11.049000           4.762900           4.834200           4.412000           3.561900          14.586000           6.182800           3.264100           3.129500           2.946300           8.980100           3.934200           3.333500           3.012100           2.615900           9.630600           4.174800           2.441900           2.501600           2.261300           8.634100           3.142000           2.797700           2.715000           2.519900           8.658800           3.456500
  15.000	           3.770200           2.785700           2.954600          10.990000           4.736100           4.832800           4.444300           3.632600          14.497000           6.156900           3.273900           3.166300           3.011800           8.926700           3.923400           3.325100           3.032500           2.663400           9.587200           4.149900           2.522000           2.607500           2.390100           8.666300           3.210400           2.843800           2.785700           2.615300           8.654400           3.486000
  15.500	           3.756700           2.856500           3.004700          10.913000           4.701600           4.824800           4.471000           3.700100          14.385000           6.121700           3.282400           3.201900           3.077200           8.858600           3.909600           3.311900           3.048900           2.708800           9.527100           4.117900           2.603000           2.714700           2.521800           8.686600           3.277500           2.889600           2.856500           2.712300           8.638600           3.512700
  16.000	           3.738700           2.928200           3.052900          10.818000           4.660300           4.811200           4.492600           3.764800          14.255000           6.078200           3.290900           3.237200           3.143200           8.778500           3.893900           3.294900           3.062100           2.752900           9.450700           4.079900           2.685500           2.823700           2.656600           8.697200           3.344100           2.936000           2.928200           2.811400           8.612000           3.538500
  16.500	           3.717500           3.001700           3.099900          10.707000           4.613500           4.792900           4.510100           3.827300          14.105000           6.027600           3.300600           3.273300           3.210700           8.686700           3.877700           3.275300           3.073100           2.796400           9.358800           4.037100           2.770300           2.934800           2.794900           8.697600           3.410900           2.984100           3.001700           2.913300           8.574900           3.564100
  17.000	           3.694400           3.077700           3.146500          10.580000           4.562500           4.771300           4.524300           3.888400          13.936000           5.971100           3.312900           3.311300           3.280500           8.584400           3.862400           3.254400           3.082800           2.840200           9.252100           3.990800           2.858000           3.048700           2.937000           8.688000           3.478600           3.035000           3.077700           3.018700           8.528100           3.590700
  17.500	           3.670800           3.157100           3.193600          10.438000           4.508900           4.747600           4.536200           3.948700          13.750000           5.910200           3.329100           3.352300           3.353400           8.472900           3.849700           3.233600           3.092400           2.885000           9.131700           3.942600           2.949300           3.165700           3.083100           8.669200           3.548000           3.089700           3.157100           3.128100           8.472500           3.619400
  18.000	           3.648100           3.240900           3.242000          10.283000           4.454300           4.723200           4.546900           4.009000          13.548000           5.846400           3.350800           3.397500           3.430400           8.353700           3.841200           3.214300           3.103100           2.931900           8.998900           3.894100           3.045200           3.286400           3.233400           8.641700           3.619900           3.149500           3.240900           3.242300           8.409100           3.651700
  18.500	           3.627800           3.329800           3.292600          10.116000           4.400400           4.699500           4.557500           4.070100          13.331000           5.781500           3.379300           3.448100           3.512100           8.228900           3.838400           3.198100           3.116100           2.981800           8.855200           3.846900           3.146100           3.411100           3.388200           8.606200           3.695200           3.215400           3.329800           3.361700           8.339100           3.688900
  19.000	           3.611500           3.424800           3.346300           9.938300           4.348800           4.678100           4.569200           4.132700          13.102000           5.717000           3.416000           3.505100           3.599500           8.099800           3.843000           3.186300           3.132500           3.035400           8.702100           3.802800           3.252800           3.540200           3.547400           8.563700           3.774600           3.288600           3.424800           3.487000           8.263800           3.732000
  19.500	           3.600600           3.526500           3.403800           9.752700           4.301300           4.660400           4.583100           4.197500          12.862000           5.654700           3.462300           3.569600           3.693000           7.968500           3.856600           3.180700           3.153600           3.093600           8.541500           3.763400           3.365800           3.674000           3.711100           8.515000           3.859000           3.370000           3.526500           3.618600           8.184500           3.782600
  20.000	           3.596500           3.635700           3.465800           9.560700           4.259600           4.647800           4.600300           4.265200          12.612000           5.596300           3.519200           3.642500           3.793400           7.836900           3.880500           3.182400           3.180500           3.157100           8.375200           3.730400           3.485600           3.812700           3.879100           8.461300           3.948900           3.460800           3.635700           3.756700           8.102600           3.841600
  20.500	           3.600700           3.752900           3.533100           9.364300           4.225400           4.641600           4.621700           4.336200          12.356000           5.543400           3.588000           3.724700           3.901000           7.706900           3.916200           3.193000           3.214200           3.226500           8.205000           3.705500           3.612600           3.956400           4.051200           8.403400           4.044900           3.561500           3.752900           3.901600           8.019600           3.910200
  21.000	           3.614300           3.878600           3.606100           9.165800           4.200200           4.643200           4.648400           4.411200          12.096000           5.497800           3.669400           3.816800           4.016100           7.580500           3.964800           3.213600           3.255700           3.302500           8.033200           3.690100           3.746800           4.105000           4.226900           8.342600           4.147600           3.673100           3.878600           4.053300           7.937100           3.989300
  21.500	           3.638600           4.012900           3.685200           8.967300           4.185400           4.653800           4.681300           4.490400          11.833000           5.461000           3.764200           3.919300           4.138900           7.459500           4.027400           3.245300           3.305700           3.385300           7.861600           3.685700           3.888500           4.258400           4.405800           8.279900           4.257100           3.795900           4.012900           4.211700           7.856500           4.079900
  22.000	           3.674500           4.156200           3.770700           8.771000           4.182500           4.674300           4.721100           4.574200          11.571000           5.434300           3.873000           4.032700           4.269400           7.346000           4.104800           3.289200           3.365200           3.475300           7.692500           3.693600           4.037400           4.416300           4.587200           8.216300           4.373700           3.930500           4.156200           4.376700           7.779300           4.182500
  22.500	           3.722900           4.308500           3.862900           8.579100           4.192500           4.705800           4.768500           4.662700          11.312000           5.419100           3.996100           4.157100           4.407400           7.241600           4.197700           3.346100           3.434500           3.572700           7.527800           3.715000           4.193400           4.578300           4.770400           8.153000           4.497400           4.076900           4.308500           4.547800           7.707100           4.297700
  23.000	           3.784500           4.469600           3.961700           8.393800           4.216700           4.749000           4.824100           4.756000          11.058000           5.416500           4.133800           4.292500           4.552700           7.148300           4.306700           3.416600           3.514300           3.677400           7.369700           3.750900           4.356100           4.743800           4.954500           8.091200           4.628300           4.235400           4.469600           4.724700           7.641400           4.425900
  23.500	           3.859800           4.639300           4.067200           8.217200           4.255700           4.804600           4.888300           4.854200          10.811000           5.427700           4.285900           4.439000           4.704800           7.067600           4.431900           3.501200           3.604700           3.789500           7.220100           3.802000           4.525100           4.912300           5.138700           8.031800           4.766000           4.405800           4.639300           4.906700           7.583700           4.567300
  24.000	           3.949300           4.817300           4.179200           8.051700           4.310500           4.873200           4.961500           4.957100          10.575000           5.453500           4.452400           4.596200           4.863200           7.001300           4.573500           3.600300           3.706100           3.908600           7.081300           3.869100           4.699600           5.083100           5.321800           7.976200           4.910400           4.587900           4.817300           5.093200           7.535300           4.722100
  24.500	           4.053000           5.003200           4.297400           7.899100           4.381400           4.955000           5.044000           5.064600          10.352000           5.494800           4.632800           4.763800           5.027300           6.950800           4.731500           3.714100           3.818500           4.034700           6.955100           3.952700           4.879100           5.255400           5.503000           7.925100           5.060900           4.781300           5.003200           5.283500           7.497800           4.890000
  25.000	           4.171200           5.196400           4.421600           7.761700           4.469100           5.050500           5.136000           5.176600          10.143000           5.552000           4.826700           4.941300           5.196500           6.917500           4.905500           3.842700           3.941900           4.167200           6.843400           4.053100           5.062600           5.428400           5.681300           7.879900           5.217200           4.985600           5.196400           5.476700           7.472500           5.071000
  25.500	           4.303900           5.396300           4.551400           7.641400           4.573600           5.159700           5.237500           5.292800           9.952000           5.625800           5.033400           5.128000           5.370000           6.902700           5.095100           3.985800           4.076200           4.305900           6.748300           4.170600           5.249500           5.601400           5.855500           7.841400           5.378600           5.200100           5.396300           5.672000           7.460700           5.264700
  26.000	           4.450700           5.602400           4.686400           7.540000           4.695300           5.282700           5.348800           5.412900           9.780700           5.716500           5.252200           5.323500           5.547000           6.907700           5.299900           4.143400           4.221000           4.450200           6.671400           4.305300           5.438700           5.773600           6.024900           7.810900           5.544600           5.424200           5.602400           5.868800           7.463900           5.470800
  26.500	           4.611500           5.814000           4.826300           7.459600           4.833900           5.419400           5.469700           5.536900           9.631400           5.824400           5.482100           5.526800           5.726900           6.933700           5.519100           4.315100           4.376300           4.599800           6.614500           4.456900           5.629500           5.944200           6.188500           7.789500           5.714500           5.657300           5.814000           6.066100           7.483300           5.688700
  27.000	           4.785800           6.030300           4.970600           7.401800           4.989400           5.569800           5.600200           5.664400           9.506200           5.949500           5.722300           5.737300           5.908700           6.981500           5.752000           4.500500           4.541700           4.754000           6.579300           4.625500           5.821100           6.112500           6.345600           7.778100           5.887800           5.898400           6.030300           6.263200           7.520100           5.917800
  27.500	           4.973300           6.251000           5.118900           7.368200           5.161600           5.733600           5.740300           5.795300           9.407300           6.092000           5.971800           5.954300           6.091900           7.052200           5.997700           4.699100           4.716700           4.912600           6.567300           4.810500           6.012500           6.277800           6.495500           7.777800           6.063700           6.146900           6.251000           6.459500           7.575700           6.157600
  28.000	           5.173400           6.475200           5.271000           7.360500           5.350000           5.910600           5.890000           5.929500           9.336700           6.251600           6.229600           6.176900           6.275800           7.146700           6.255200           4.910200           4.901000           5.075000           6.580100           5.011700           6.202900           6.439800           6.637700           7.789800           6.241700           6.401900           6.475200           6.654500           7.651100           6.407300
  28.500	           5.385500           6.702400           5.426300           7.380000           5.554100           6.100300           6.049100           6.066800           9.296000           6.428400           6.494600           6.404500           6.459800           7.265400           6.523600           5.133300           5.094200           5.240800           6.618900           5.228400           6.391800           6.597800           6.771800           7.815000           6.421200           6.662600           6.702400           6.847500           7.747400           6.666200
  29.000	           5.608900           6.932200           5.584800           7.428000           5.773600           6.302500           6.217500           6.207400           9.287100           6.621900           6.765700           6.636200           6.643300           7.409200           6.801800           5.367600           5.295800           5.409700           6.685000           5.460100           6.578500           6.751600           6.897700           7.854700           6.601700           6.928300           6.932200           7.038200           7.865700           6.934000
  29.500	           5.843000           7.164200           5.746100           7.505500           6.007600           6.516800           6.395200           6.351000           9.311400           6.831800           7.042000           6.871300           6.825900           7.578300           7.088800           5.612400           5.505300           5.581400           6.779400           5.706100           6.762400           6.900900           7.015300           7.909500           6.782800           7.198100           7.164200           7.226300           8.007000           7.209400
  30.000	           6.087100           7.397700           5.910000           7.613600           6.255400           6.742500           6.581900           6.497900           9.370300           7.057600           7.322400           7.109300           7.007300           7.773100           7.383400           5.867000           5.722400           5.755500           6.903100           5.965600           6.943200           7.045800           7.124700           7.980500           6.964000           7.471400           7.397700           7.411600           8.172100           7.491900
  30.500	           6.340200           7.632700           6.076300           7.752900           6.516300           6.979300           6.777500           6.648100           9.464800           7.298800           7.605900           7.349400           7.187100           7.993800           7.684500           6.130400           5.946500           5.931800           7.056700           6.237700           7.120400           7.186100           7.226200           8.068500           7.144900           7.747500           7.632700           7.594200           8.361700           7.780800
  31.000	           6.601700           7.868700           6.244900           7.924000           6.789300           7.226500           6.981900           6.801700           9.595800           7.554700           7.891500           7.591200           7.365200           8.240400           7.991000           6.401800           6.177100           6.110200           7.240700           6.521500           7.293900           7.322100           7.320100           8.174300           7.325400           8.025800           7.868700           7.773900           8.576400           8.075400
  31.500	           6.870700           8.105600           6.415800           8.127100           7.073400           7.483400           7.194900           6.958900           9.764000           7.824500           8.178200           7.833900           7.541400           8.512500           8.301700           6.680400           6.413800           6.290400           7.455400           6.816100           7.463400           7.453900           7.407100           8.298600           7.505200           8.305500           8.105600           7.950800           8.816600           8.374500
  32.000	           7.146200           8.343200           6.588700           8.362300           7.367700           7.749500           7.416100           7.119700           9.969300           8.107500           8.465200           8.077200           7.715600           8.810100           8.615600           6.965200           6.655900           6.472400           7.700900           7.120200           7.629000           7.582000           7.487800           8.441900           7.684000           8.586100           8.343200           8.125200           9.082700           8.678400
  32.500	           7.427400           8.581200           6.763700           8.629300           7.670900           8.024000           7.645300           7.284400          10.212000           8.402600           8.751400           8.320400           7.887900           9.132200           8.931400           7.255200           6.903100           6.655800           7.977000           7.432900           7.790500           7.706500           7.562800           8.604500           7.861800           8.867100           8.581200           8.297400           9.374600           8.985400
  33.000	           7.713300           8.819500           6.940500           8.927600           7.981900           8.306000           7.882100           7.453000          10.492000           8.708900           9.036100           8.563100           8.058000           9.478300           9.248000           7.549500           7.154600           6.840700           8.283200           7.752800           7.948200           7.828100           7.633100           8.786800           8.038500           9.147800           8.819500           8.467400           9.692300           9.295000
  33.500	           8.002800           9.058000           7.119100           9.256400           8.299300           8.594600           8.126100           7.625500          10.808000           9.025000           9.318300           8.804900           8.226200           9.847200           9.564200           7.847000           7.409800           7.026800           8.618700           8.078700           8.102000           7.947200           7.699500           8.988500           8.213800           9.427800           9.058000           8.635700          10.035000           9.606400
  34.000	           8.294800           9.296500           7.299300           9.614600           8.621900           8.888900           8.376600           7.802000          11.160000           9.349800           9.597100           9.045100           8.392200          10.238000           9.879000           8.146700           7.668200           7.214000           8.982600           8.409200           8.252200           8.064200           7.762900           9.209700           8.387900           9.706500           9.296500           8.802500          10.403000           9.918700
  34.500	           8.588400           9.534800           7.480900          10.001000           8.948200           9.187800           8.633200           7.982400          11.545000           9.681800           9.871900           9.283400           8.556300          10.648000          10.191000           8.447400           7.928800           7.402000           9.373500           8.743000           8.399000           8.179700           7.824200           9.449900           8.560500           9.983300           9.534800           8.968200          10.794000          10.231000
