#206Hg(d,p)207Hg(5/2+ 1.800) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.800) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.800) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.800) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.800) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.800) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.800) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.800) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.800) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.800) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.800) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.800) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.800) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.800) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.800) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.800) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.800) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.800) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.800) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.800) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.800) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.800) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.800) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.800) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.800) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.800) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.800) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.800) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.800) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 1.800) ELAB= 14.780
   Angel	  Ex=1.800(2d5/2)AK  Ex=1.800(2d5/2)QV  Ex=1.800(2d5/2)AM  Ex=1.800(2d5/2)AG  Ex=1.800(2d5/2)AP  Ex=1.800(2d5/2)HK  Ex=1.800(2d5/2)HV  Ex=1.800(2d5/2)HM  Ex=1.800(2d5/2)HG  Ex=1.800(2d5/2)HP  Ex=1.800(2d5/2)BK  Ex=1.800(2d5/2)BV  Ex=1.800(2d5/2)BM  Ex=1.800(2d5/2)BG  Ex=1.800(2d5/2)BP  Ex=1.800(2d5/2)DK  Ex=1.800(2d5/2)DV  Ex=1.800(2d5/2)DM  Ex=1.800(2d5/2)DG  Ex=1.800(2d5/2)DP  Ex=1.800(2d5/2)LK  Ex=1.800(2d5/2)LV  Ex=1.800(2d5/2)LM  Ex=1.800(2d5/2)LG  Ex=1.800(2d5/2)LP  Ex=1.800(2d5/2)QK  Ex=1.800(2d5/2)QV  Ex=1.800(2d5/2)QM  Ex=1.800(2d5/2)QG  Ex=1.800(2d5/2)QP
   0.500	           2.556200           1.025200           1.156800           9.327100           3.521400           3.349300           2.570700           1.413800          13.138000           4.753300           2.192600           1.689500           1.213900           7.566700           2.927000           2.210100           1.597700           1.042600           7.839000           3.011400           0.749580           0.521240           0.123480           6.582000           1.373500           1.380900           1.025200           0.603290           6.970800           2.064600
   1.000	           2.566500           1.033800           1.167000           9.343000           3.533000           3.361200           2.582900           1.426000          13.153000           4.766300           2.201200           1.699000           1.223700           7.580800           2.936400           2.219600           1.607300           1.051800           7.854400           3.022200           0.757380           0.529300           0.131350           6.593900           1.382500           1.389200           1.033800           0.612210           6.982800           2.073700
   1.500	           2.583700           1.048100           1.184000           9.369400           3.552300           3.381000           2.603100           1.446300          13.179000           4.787800           2.215400           1.714600           1.240000           7.604300           2.952100           2.235400           1.623300           1.067000           7.879900           3.040200           0.770400           0.542770           0.144520           6.613900           1.397500           1.403000           1.048100           0.627080           7.002700           2.088900
   2.000	           2.607600           1.068200           1.207800           9.406100           3.579100           3.408400           2.631300           1.474600          13.215000           4.817600           2.235300           1.736400           1.262800           7.636800           2.973800           2.257400           1.645600           1.088300           7.915400           3.065200           0.788660           0.561710           0.163060           6.641700           1.418600           1.422400           1.068200           0.647900           7.030500           2.110100
   2.500	           2.638000           1.094000           1.238100           9.452900           3.613200           3.443400           2.667300           1.510800          13.260000           4.855600           2.260500           1.764300           1.291900           7.678200           3.001400           2.285400           1.674100           1.115600           7.960600           3.097000           0.812170           0.586160           0.187050           6.677500           1.445600           1.447200           1.094000           0.674640           7.066000           2.137100
   3.000	           2.674600           1.125400           1.275000           9.509300           3.654300           3.485600           2.711000           1.554700          13.315000           4.901300           2.291000           1.798000           1.327200           7.728000           3.034600           2.319200           1.708700           1.148800           8.015300           3.135300           0.840940           0.616200           0.216600           6.721100           1.478600           1.477300           1.125400           0.707300           7.109200           2.169900
   3.500	           2.717300           1.162400           1.318300           9.574900           3.702000           3.534800           2.762000           1.606200          13.379000           4.954400           2.326400           1.837400           1.368600           7.785800           3.073100           2.358500           1.749100           1.187700           8.079000           3.179800           0.874960           0.651890           0.251790           6.772500           1.517500           1.512600           1.162400           0.745820           7.159700           2.208300
   4.000	           2.765600           1.204900           1.367600           9.649200           3.755800           3.590400           2.820000           1.665000          13.451000           5.014400           2.366500           1.882200           1.415900           7.851000           3.116600           2.403000           1.795100           1.232200           8.151100           3.230100           0.914210           0.693250           0.292720           6.831500           1.562200           1.552900           1.204900           0.790110           7.217400           2.252100
   4.500	           2.819000           1.252700           1.422900           9.731300           3.815200           3.652000           2.884700           1.730800          13.530000           5.080600           2.410800           1.932100           1.468700           7.923000           3.164400           2.452300           1.846400           1.282000           8.231200           3.285600           0.958590           0.740290           0.339450           6.897800           1.612600           1.598100           1.252700           0.840070           7.281700           2.300900
   5.000	           2.877100           1.305600           1.483600           9.820600           3.879600           3.719000           2.955500           1.803300          13.616000           5.152400           2.459000           1.986700           1.526700           8.000800           3.216100           2.506000           1.902600           1.336800           8.318400           3.345800           1.008000           0.792990           0.392020           6.971200           1.668400           1.647800           1.305600           0.895520           7.352400           2.354400
