            angle	Ex=1.808(p:Menet,d:DCV)	Ex=1.808(p:KD,d:DCV)	Ex=1.808(p:Varmar,d:DCV)	Ex=1.808(p:BG,d:DCV(re))	Ex=1.808(p:Menet,d:LH)	Ex=1.808(p:Menet,d:Custom)	Ex=1.808(p:Menet,d:DCV(nonREL))	Ex=1.808(p:Menet,d:AC)	
            43.60	         0.246610	         0.225700	         0.236450	         0.154010	         0.381240	         0.307030	         0.255920	         0.225050	
            43.70	         0.238990	         0.218400	         0.229080	         0.148700	         0.369810	         0.297860	         0.247900	         0.217340	
            43.80	         0.231530	         0.211250	         0.221850	         0.143550	         0.358530	         0.288830	         0.240040	         0.209790	
            43.90	         0.224240	         0.204250	         0.214760	         0.138550	         0.347420	         0.279930	         0.232340	         0.202410	
            44.00	         0.217120	         0.197400	         0.207810	         0.133710	         0.336460	         0.271180	         0.224800	         0.195200	
            44.10	         0.210170	         0.190710	         0.201010	         0.129030	         0.325660	         0.262560	         0.217430	         0.188170	
            44.20	         0.203390	         0.184180	         0.194360	         0.124520	         0.315020	         0.254090	         0.210230	         0.181310	
            44.30	         0.196780	         0.177800	         0.187850	         0.120170	         0.304550	         0.245770	         0.203200	         0.174630	
            44.40	         0.190350	         0.171590	         0.181500	         0.115990	         0.294250	         0.237590	         0.196340	         0.168120	
            44.50	         0.184100	         0.165550	         0.175300	         0.111980	         0.284120	         0.229560	         0.189650	         0.161800	
            44.60	         0.178040	         0.159670	         0.169260	         0.108140	         0.274170	         0.221670	         0.183150	         0.155670	
            44.70	         0.172150	         0.153970	         0.163370	         0.104480	         0.264380	         0.213930	         0.176820	         0.149720	
            44.80	         0.166450	         0.148440	         0.157650	         0.100990	         0.254780	         0.206340	         0.170670	         0.143960	
            44.90	         0.160940	         0.143080	         0.152100	         0.097674	         0.245350	         0.198900	         0.164710	         0.138390	
