            angle	Ex=1.808(p:Menet,d:DCV)	Ex=1.808(p:KD,d:DCV)	Ex=1.808(p:Varmar,d:DCV)	Ex=1.808(p:BG,d:DCV(re))	Ex=1.808(p:Menet,d:LH)	Ex=1.808(p:Menet,d:Custom)	Ex=1.808(p:Menet,d:DCV(nonREL))	Ex=1.808(p:Menet,d:AC)	
            24.70	         0.468760	         0.590340	         0.436960	         0.444490	         0.454620	         0.649140	         0.413760	         0.421620	
            24.80	         0.468330	         0.582400	         0.430750	         0.437040	         0.469630	         0.666140	         0.414300	         0.422370	
            24.90	         0.468590	         0.575290	         0.425350	         0.430370	         0.485000	         0.683200	         0.415530	         0.423770	
            25.00	         0.469490	         0.568980	         0.420740	         0.424470	         0.500690	         0.700300	         0.417410	         0.425820	
            25.10	         0.471030	         0.563440	         0.416910	         0.419300	         0.516700	         0.717430	         0.419910	         0.428470	
            25.20	         0.473180	         0.558660	         0.413820	         0.414850	         0.532990	         0.734570	         0.423030	         0.431720	
            25.30	         0.475910	         0.554620	         0.411450	         0.411080	         0.549560	         0.751710	         0.426720	         0.435530	
            25.40	         0.479200	         0.551270	         0.409770	         0.407990	         0.566370	         0.768850	         0.430970	         0.439880	
            25.50	         0.483030	         0.548610	         0.408770	         0.405540	         0.583410	         0.785960	         0.435760	         0.444760	
            25.60	         0.487370	         0.546610	         0.408420	         0.403710	         0.600670	         0.803030	         0.441060	         0.450130	
            25.70	         0.492210	         0.545250	         0.408700	         0.402490	         0.618120	         0.820050	         0.446860	         0.455980	
            25.80	         0.497520	         0.544490	         0.409570	         0.401840	         0.635740	         0.837010	         0.453120	         0.462290	
            25.90	         0.503290	         0.544330	         0.411030	         0.401740	         0.653510	         0.853900	         0.459830	         0.469030	
            26.00	         0.509480	         0.544730	         0.413050	         0.402180	         0.671420	         0.870710	         0.466970	         0.476180	
            26.10	         0.516070	         0.545680	         0.415600	         0.403140	         0.689460	         0.887410	         0.474510	         0.483720	
            26.20	         0.523060	         0.547150	         0.418660	         0.404580	         0.707590	         0.904020	         0.482440	         0.491630	
            26.30	         0.530410	         0.549120	         0.422210	         0.406490	         0.725810	         0.920500	         0.490720	         0.499880	
            26.40	         0.538110	         0.551570	         0.426240	         0.408860	         0.744090	         0.936850	         0.499360	         0.508470	
            26.50	         0.546140	         0.554480	         0.430710	         0.411650	         0.762420	         0.953070	         0.508310	         0.517370	
            26.60	         0.554470	         0.557830	         0.435620	         0.414850	         0.780790	         0.969130	         0.517570	         0.526550	
            26.70	         0.563090	         0.561590	         0.440920	         0.418440	         0.799180	         0.985040	         0.527110	         0.536010	
            26.80	         0.571970	         0.565750	         0.446620	         0.422400	         0.817570	         1.000800	         0.536910	         0.545710	
            26.90	         0.581110	         0.570280	         0.452680	         0.426710	         0.835940	         1.016300	         0.546960	         0.555650	
            27.00	         0.590480	         0.575170	         0.459090	         0.431350	         0.854290	         1.031700	         0.557240	         0.565800	
            27.10	         0.600060	         0.580400	         0.465820	         0.436310	         0.872600	         1.046900	         0.567720	         0.576150	
            27.20	         0.609830	         0.585940	         0.472870	         0.441550	         0.890840	         1.061900	         0.578400	         0.586670	
            27.30	         0.619780	         0.591790	         0.480200	         0.447080	         0.909020	         1.076600	         0.589240	         0.597360	
