            angle	Ex=0.000(d5/2)(d:DCV,p:Vamer)	Ex=0.000(d5/2)(d:DCV,p:KD)	Ex=0.000(d5/2)(d:HSS,p:KD)	Ex=0.120(s1/2)(d:DCV,p:Vamer)	Ex=0.120(s1/2)(d:DCV,p:KD)	Ex=0.120(s1/2)(d:HSS,p:KD)	Ex=0.298(d5/2)(d:DCV,p:Vamer)	Ex=0.298(d5/2)(d:DCV,p:KD)	Ex=0.298(d5/2)(d:HSS,p:KD)	Ex=0.397(s1/2)(d:DCV,p:Vamer)	Ex=0.397(s1/2)(d:DCV,p:KD)	Ex=0.397(s1/2)(d:HSS,p:KD)	
             44.00          0.672420          0.794070          0.818350          0.027998          0.035386          0.032341          0.894820          1.056600          1.097900          0.049695          0.069717          0.066338
             45.00          0.626180          0.740900          0.752310          0.022217          0.028815          0.024507          0.832960          0.985430          1.009200          0.044260          0.062533          0.059219
             46.00          0.581610          0.689610          0.689730          0.018365          0.024458          0.019028          0.773340          0.916840          0.925120          0.043447          0.060873          0.058873
             47.00          0.539150          0.640670          0.630990          0.016222          0.022050          0.015655          0.716560          0.851420          0.846220          0.046335          0.063741          0.064209
             48.00          0.499130          0.594450          0.576330          0.015505          0.021268          0.014096          0.663070          0.789650          0.772810          0.052024          0.070131          0.073946
             49.00          0.461770          0.551160          0.525870          0.015900          0.021766          0.014047          0.613170          0.731840          0.705060          0.059661          0.079051          0.086660
             50.00          0.427160          0.510910          0.479620          0.017093          0.023200          0.015197          0.567010          0.678150          0.642990          0.068461          0.089545          0.100850
             51.00          0.395300          0.473700          0.437470          0.018791          0.025253          0.017248          0.524570          0.628580          0.586470          0.077705          0.100700          0.115030
             52.00          0.366090          0.439420          0.399240          0.020739          0.027638          0.019910          0.485730          0.582960          0.535250          0.086734          0.111650          0.127790
             53.00          0.339350          0.407880          0.364660          0.022727          0.030112          0.022905          0.450220          0.541050          0.488950          0.094947          0.121600          0.137930
             54.00          0.314860          0.378840          0.333400          0.024586          0.032469          0.025971          0.417720          0.502490          0.447150          0.101800          0.129810          0.144530
             55.00          0.292360          0.352030          0.305140          0.026192          0.034541          0.028861          0.387880          0.466900          0.409350          0.106830          0.135690          0.146990
             56.00          0.271600          0.327190          0.279510          0.027451          0.036189          0.031351          0.360330          0.433900          0.375100          0.109640          0.138750          0.145100
             57.00          0.252350          0.304050          0.256190          0.028296          0.037303          0.033248          0.334750          0.403120          0.343920          0.109970          0.138690          0.139020
             58.00          0.234380          0.282390          0.234880          0.028679          0.037802          0.034404          0.310830          0.374260          0.315410          0.107710          0.135430          0.129260
             59.00          0.217530          0.262010          0.215320          0.028574          0.037633          0.034724          0.288370          0.347070          0.289210          0.102920          0.129070          0.116600
             60.00          0.201650          0.242780          0.197280          0.027971          0.036779          0.034173          0.267180          0.321380          0.265030          0.095825          0.119990          0.102010
             61.00          0.186650          0.224580          0.180610          0.026882          0.035257          0.032783          0.247150          0.297050          0.242640          0.086847          0.108710          0.086558
             62.00          0.172470          0.207340          0.165140          0.025340          0.033123          0.030645          0.228200          0.274010          0.221860          0.076543          0.095937          0.071259
             63.00          0.159050          0.191020          0.150770          0.023405          0.030472          0.027905          0.210290          0.252210          0.202530          0.065570          0.082471          0.057029
             64.00          0.146350          0.175580          0.137410          0.021160          0.027430          0.024745          0.193390          0.231620          0.184560          0.054622          0.069119          0.044580
             65.00          0.134370          0.161000          0.124980          0.018706          0.024146          0.021366          0.177450          0.212220          0.167850          0.044362          0.056633          0.034378
             66.00          0.123080          0.147270          0.113430          0.016159          0.020785          0.017970          0.162460          0.193980          0.152310          0.035353          0.045634          0.026622
             67.00          0.112470          0.134380          0.102700          0.013640          0.017507          0.014737          0.148400          0.176890          0.137890          0.028007          0.036561          0.021260
             68.00          0.102530          0.122310          0.092751          0.011265          0.014459          0.011815          0.135230          0.160900          0.124510          0.022547          0.029638          0.018023
             69.00          0.093255          0.111050          0.083537          0.009132          0.011761          0.009305          0.122940          0.146010          0.112120          0.018995          0.024869          0.016490
             70.00          0.084628          0.100610          0.075025          0.007320          0.009496          0.007263          0.111510          0.132190          0.100680          0.017189          0.022059          0.016150
             71.00          0.076648          0.090950          0.067189          0.005875          0.007709          0.005694          0.100940          0.119420          0.090153          0.016812          0.020854          0.016480
             72.00          0.069307          0.082078          0.060005          0.004814          0.006401          0.004567          0.091201          0.107690          0.080497          0.017449          0.020802          0.017002
             73.00          0.062596          0.073975          0.053449          0.004120          0.005539          0.003819          0.082301          0.096969          0.071688          0.018642          0.021413          0.017334
             74.00          0.056502          0.066621          0.047502          0.003753          0.005060          0.003368          0.074225          0.087247          0.063699          0.019949          0.022221          0.017216
             75.00          0.051007          0.059990          0.042140          0.003651          0.004879          0.003128          0.066950          0.078492          0.056501          0.020995          0.022834          0.016524
             76.00          0.046082          0.054050          0.037338          0.003739          0.004905          0.003017          0.060444          0.070661          0.050062          0.021508          0.022972          0.015255
             77.00          0.041694          0.048758          0.033067          0.003940          0.005045          0.002963          0.054665          0.063702          0.044342          0.021336          0.022476          0.013507
             78.00          0.037803          0.044065          0.029293          0.004181          0.005217          0.002914          0.049554          0.057546          0.039295          0.020449          0.021316          0.011445
             79.00          0.034362          0.039918          0.025978          0.004400          0.005354          0.002834          0.045049          0.052120          0.034869          0.018922          0.019565          0.009265
             80.00          0.031322          0.036258          0.023081          0.004550          0.005408          0.002706          0.041079          0.047341          0.031007          0.016908          0.017376          0.007159
             81.00          0.028636          0.033028          0.020561          0.004601          0.005352          0.002528          0.037575          0.043129          0.027652          0.014608          0.014944          0.005288
             82.00          0.026257          0.030171          0.018377          0.004541          0.005179          0.002309          0.034471          0.039405          0.024744          0.012234          0.012474          0.003763
             83.00          0.024140          0.027636          0.016487          0.004371          0.004896          0.002064          0.031707          0.036097          0.022230          0.009979          0.010153          0.002640
             84.00          0.022249          0.025376          0.014856          0.004109          0.004525          0.001811          0.029232          0.033143          0.020056          0.007998          0.008124          0.001916
             85.00          0.020550          0.023350          0.013448          0.003776          0.004093          0.001566          0.027003          0.030490          0.018179          0.006391          0.006476          0.001543
             86.00          0.019015          0.021523          0.012235          0.003401          0.003631          0.001344          0.024985          0.028093          0.016558          0.005200          0.005244          0.001443
             87.00          0.017620          0.019865          0.011189          0.003011          0.003166          0.001152          0.023148          0.025917          0.015158          0.004415          0.004410          0.001521
             88.00          0.016344          0.018351          0.010287          0.002632          0.002724          0.000994          0.021467          0.023930          0.013949          0.003982          0.003915          0.001685
             89.00          0.015168          0.016959          0.009507          0.002282          0.002324          0.000869          0.019919          0.022104          0.012903          0.003820          0.003678          0.001855
             90.00          0.014077          0.015669          0.008832          0.001974          0.001975          0.000774          0.018484          0.020417          0.011996          0.003835          0.003605          0.001975
             91.00          0.013057          0.014467          0.008243          0.001715          0.001683          0.000702          0.017143          0.018845          0.011206          0.003933          0.003609          0.002015
             92.00          0.012097          0.013337          0.007725          0.001505          0.001447          0.000647          0.015880          0.017370          0.010512          0.004033          0.003615          0.001970
             93.00          0.011186          0.012270          0.007263          0.001340          0.001259          0.000602          0.014682          0.015977          0.009895          0.004074          0.003570          0.001856
             94.00          0.010318          0.011257          0.006846          0.001211          0.001112          0.000562          0.013537          0.014654          0.009337          0.004019          0.003445          0.001703
             95.00          0.009489          0.010294          0.006463          0.001110          0.000995          0.000524          0.012441          0.013392          0.008825          0.003855          0.003233          0.001549
             96.00          0.008698          0.009378          0.006105          0.001027          0.000899          0.000487          0.011391          0.012190          0.008346          0.003588          0.002946          0.001430
             97.00          0.007945          0.008510          0.005766          0.000953          0.000816          0.000449          0.010389          0.011047          0.007891          0.003239          0.002609          0.001373
             98.00          0.007232          0.007690          0.005441          0.000882          0.000739          0.000414          0.009439          0.009966          0.007455          0.002841          0.002253          0.001399
             99.00          0.006561          0.006921          0.005128          0.000811          0.000665          0.000382          0.008546          0.008952          0.007033          0.002429          0.001912          0.001512
            100.00          0.005934          0.006205          0.004826          0.000736          0.000592          0.000355          0.007713          0.008009          0.006625          0.002034          0.001613          0.001704
            101.00          0.005353          0.005544          0.004533          0.000659          0.000520          0.000335          0.006944          0.007139          0.006230          0.001686          0.001378          0.001958
            102.00          0.004819          0.004939          0.004251          0.000581          0.000450          0.000323          0.006241          0.006345          0.005850          0.001403          0.001219          0.002248
            103.00          0.004332          0.004389          0.003980          0.000504          0.000384          0.000319          0.005602          0.005627          0.005485          0.001193          0.001136          0.002546
            104.00          0.003889          0.003892          0.003721          0.000431          0.000325          0.000322          0.005025          0.004981          0.005136          0.001058          0.001122          0.002821
            105.00          0.003488          0.003447          0.003474          0.000365          0.000274          0.000330          0.004507          0.004405          0.004804          0.000990          0.001164          0.003046
            106.00          0.003128          0.003050          0.003238          0.000307          0.000232          0.000341          0.004042          0.003893          0.004488          0.000975          0.001242          0.003202
            107.00          0.002806          0.002698          0.003014          0.000260          0.000200          0.000352          0.003627          0.003441          0.004187          0.000996          0.001337          0.003274
            108.00          0.002518          0.002388          0.002801          0.000222          0.000178          0.000362          0.003257          0.003044          0.003901          0.001036          0.001428          0.003257
            109.00          0.002264          0.002117          0.002599          0.000195          0.000164          0.000367          0.002929          0.002697          0.003628          0.001078          0.001499          0.003152
            110.00          0.002041          0.001883          0.002407          0.000176          0.000158          0.000367          0.002641          0.002397          0.003367          0.001108          0.001538          0.002968
            111.00          0.001846          0.001681          0.002225          0.000165          0.000156          0.000361          0.002390          0.002140          0.003119          0.001116          0.001536          0.002718
            112.00          0.001677          0.001510          0.002053          0.000158          0.000158          0.000347          0.002173          0.001922          0.002883          0.001096          0.001492          0.002420
            113.00          0.001533          0.001366          0.001893          0.000155          0.000161          0.000328          0.001986          0.001738          0.002660          0.001047          0.001407          0.002094
            114.00          0.001410          0.001245          0.001743          0.000154          0.000164          0.000302          0.001828          0.001586          0.002452          0.000970          0.001288          0.001759
            115.00          0.001306          0.001145          0.001605          0.000153          0.000166          0.000273          0.001693          0.001459          0.002259          0.000872          0.001143          0.001433
            116.00          0.001217          0.001061          0.001478          0.000151          0.000165          0.000242          0.001578          0.001354          0.002082          0.000759          0.000984          0.001132
            117.00          0.001140          0.000990          0.001364          0.000147          0.000161          0.000211          0.001478          0.001265          0.001922          0.000640          0.000822          0.000868
            118.00          0.001072          0.000929          0.001262          0.000142          0.000154          0.000181          0.001389          0.001188          0.001778          0.000523          0.000667          0.000650
            119.00          0.001012          0.000875          0.001172          0.000134          0.000144          0.000154          0.001310          0.001120          0.001651          0.000417          0.000528          0.000483
            120.00          0.000957          0.000827          0.001092          0.000125          0.000132          0.000132          0.001236          0.001059          0.001539          0.000327          0.000414          0.000370
            121.00          0.000906          0.000783          0.001022          0.000115          0.000119          0.000115          0.001167          0.001001          0.001440          0.000259          0.000328          0.000308
            122.00          0.000858          0.000742          0.000961          0.000104          0.000106          0.000104          0.001102          0.000947          0.001353          0.000217          0.000275          0.000294
            123.00          0.000812          0.000702          0.000907          0.000093          0.000092          0.000099          0.001040          0.000896          0.001276          0.000201          0.000254          0.000322
            124.00          0.000769          0.000665          0.000859          0.000083          0.000081          0.000101          0.000982          0.000847          0.001208          0.000211          0.000264          0.000386
            125.00          0.000728          0.000629          0.000818          0.000074          0.000071          0.000108          0.000928          0.000800          0.001148          0.000245          0.000302          0.000477
            126.00          0.000688          0.000594          0.000781          0.000067          0.000063          0.000119          0.000876          0.000755          0.001094          0.000301          0.000364          0.000588
            127.00          0.000650          0.000559          0.000748          0.000063          0.000059          0.000134          0.000826          0.000712          0.001046          0.000375          0.000445          0.000712
            128.00          0.000612          0.000525          0.000720          0.000060          0.000057          0.000152          0.000778          0.000668          0.001005          0.000461          0.000539          0.000841
            129.00          0.000575          0.000491          0.000695          0.000061          0.000059          0.000171          0.000731          0.000625          0.000969          0.000556          0.000640          0.000967
            130.00          0.000538          0.000457          0.000674          0.000063          0.000065          0.000191          0.000683          0.000582          0.000939          0.000655          0.000743          0.001086
            131.00          0.000500          0.000422          0.000656          0.000068          0.000073          0.000210          0.000636          0.000538          0.000913          0.000753          0.000842          0.001192
            132.00          0.000463          0.000388          0.000640          0.000075          0.000083          0.000227          0.000588          0.000493          0.000891          0.000845          0.000935          0.001280
            133.00          0.000426          0.000354          0.000625          0.000083          0.000096          0.000242          0.000540          0.000449          0.000872          0.000929          0.001015          0.001346
            134.00          0.000389          0.000321          0.000612          0.000093          0.000110          0.000254          0.000493          0.000406          0.000854          0.001001          0.001081          0.001389
            135.00          0.000354          0.000290          0.000598          0.000104          0.000125          0.000263          0.000447          0.000366          0.000837          0.001057          0.001130          0.001406
            136.00          0.000321          0.000261          0.000585          0.000115          0.000140          0.000268          0.000404          0.000329          0.000819          0.001097          0.001160          0.001399
            137.00          0.000289          0.000234          0.000571          0.000126          0.000155          0.000269          0.000364          0.000295          0.000800          0.001119          0.001171          0.001367
            138.00          0.000261          0.000211          0.000555          0.000136          0.000170          0.000267          0.000328          0.000266          0.000780          0.001121          0.001163          0.001313
            139.00          0.000234          0.000190          0.000539          0.000145          0.000182          0.000261          0.000295          0.000242          0.000758          0.001105          0.001136          0.001239
            140.00          0.000210          0.000173          0.000522          0.000153          0.000193          0.000252          0.000266          0.000221          0.000735          0.001071          0.001092          0.001151
            141.00          0.000189          0.000158          0.000504          0.000159          0.000202          0.000240          0.000240          0.000204          0.000710          0.001021          0.001032          0.001052
            142.00          0.000170          0.000146          0.000485          0.000163          0.000207          0.000227          0.000217          0.000190          0.000684          0.000956          0.000960          0.000946
            143.00          0.000152          0.000136          0.000466          0.000164          0.000210          0.000211          0.000195          0.000178          0.000658          0.000879          0.000878          0.000840
            144.00          0.000136          0.000128          0.000447          0.000164          0.000210          0.000195          0.000176          0.000168          0.000631          0.000794          0.000791          0.000737
            145.00          0.000122          0.000121          0.000427          0.000160          0.000207          0.000178          0.000158          0.000160          0.000604          0.000703          0.000701          0.000643
