            angle	Ex=0.000(d:DCV,3He:XGHS)	Ex=0.000(d:DCV,3He:LLC)	Ex=0.000(d:HSS,3He:XGHS)	Ex=0.740(d:DCV,3He:XGHS)	Ex=0.740(d:DCV,3He:LLC)	Ex=0.740(d:HSS,3He:XGHS)	Ex=4.780(d:DCV,3He:XGHS)	Ex=4.780(d:DCV,3He:LLC)	Ex=4.780(d:HSS,3He:XGHS)	Ex=5.833(d:DCV,3He:XGHS)	Ex=5.833(d:DCV,3He:LLC)	Ex=5.833(d:HSS,3He:XGHS)	Ex=6.358(d:DCV,3He:XGHS)	Ex=6.358(d:DCV,3He:LLC)	Ex=6.358(d:HSS,3He:XGHS)	Ex=6.358(d:DCV,3He:XGHS)	Ex=6.358(d:DCV,3He:LLC)	Ex=6.358(d:HSS,3He:XGHS)	Ex=6.358(d:DCV,3He:XGHS)	Ex=6.358(d:DCV,3He:LLC)	Ex=6.358(d:HSS,3He:XGHS)	
             31.00          0.032995          0.029859          0.064186          0.029031          0.033381          0.058829          0.022033          0.073838          0.038482          0.023675          0.089752          0.035696          0.024984          0.098245          0.034754          0.024984          0.098245          0.034754          0.024658          0.096280          0.034943
             31.50          0.035795          0.032469          0.067464          0.031587          0.035237          0.062179          0.022232          0.070857          0.040735          0.023101          0.085438          0.037413          0.024027          0.093296          0.036185          0.024027          0.093296          0.036185          0.023788          0.091473          0.036440
             32.00          0.038944          0.036026          0.070984          0.034609          0.038180          0.065865          0.023301          0.069347          0.043699          0.023447          0.082606          0.039891          0.024005          0.089819          0.038395          0.024005          0.089819          0.038395          0.023851          0.088143          0.038712
             32.50          0.042241          0.040266          0.074519          0.037887          0.041944          0.069654          0.025058          0.069101          0.047168          0.024547          0.081079          0.042942          0.024762          0.087654          0.041203          0.024762          0.087654          0.041203          0.024687          0.086123          0.041578
             33.00          0.045503          0.044941          0.077868          0.041231          0.046276          0.073335          0.027316          0.069908          0.050936          0.026230          0.080667          0.046374          0.026132          0.086623          0.044428          0.026132          0.086623          0.044428          0.026130          0.085234          0.044851
             33.50          0.048581          0.049832          0.080862          0.044479          0.050948          0.076727          0.029899          0.071554          0.054809          0.028327          0.081173          0.050001          0.027955          0.086539          0.047887          0.027955          0.086539          0.047887          0.028017          0.085285          0.048352
             34.00          0.051355          0.054750          0.083365          0.047495          0.055759          0.079682          0.032646          0.073833          0.058610          0.030680          0.082406          0.053652          0.030075          0.087220          0.051416          0.030075          0.087220          0.051416          0.030192          0.086093          0.051911
             34.50          0.053735          0.059541          0.085281          0.050175          0.060539          0.082088          0.035414          0.076554          0.062186          0.033145          0.084180          0.057173          0.032350          0.088485          0.054859          0.032350          0.088485          0.054859          0.032512          0.087476          0.055374
             35.00          0.055665          0.064085          0.086546          0.052448          0.065153          0.083867          0.038080          0.079546          0.065410          0.035597          0.086328          0.060431          0.034655          0.090171          0.058086          0.034655          0.090171          0.058086          0.034853          0.089270          0.058611
             35.50          0.057117          0.068297          0.087133          0.054270          0.069498          0.084977          0.040550          0.082661          0.068183          0.037934          0.088701          0.063321          0.036884          0.092128          0.060986          0.036884          0.092128          0.060986          0.037109          0.091324          0.061512
