#206Hg(d,p)207Hg(5/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 0.000) ELAB= 14.780
   Angel	  Ex=0.000(2d5/2)AK  Ex=0.000(2d5/2)QV  Ex=0.000(2d5/2)AM  Ex=0.000(2d5/2)AG  Ex=0.000(2d5/2)AP  Ex=0.000(2d5/2)HK  Ex=0.000(2d5/2)HV  Ex=0.000(2d5/2)HM  Ex=0.000(2d5/2)HG  Ex=0.000(2d5/2)HP  Ex=0.000(2d5/2)BK  Ex=0.000(2d5/2)BV  Ex=0.000(2d5/2)BM  Ex=0.000(2d5/2)BG  Ex=0.000(2d5/2)BP  Ex=0.000(2d5/2)DK  Ex=0.000(2d5/2)DV  Ex=0.000(2d5/2)DM  Ex=0.000(2d5/2)DG  Ex=0.000(2d5/2)DP  Ex=0.000(2d5/2)LK  Ex=0.000(2d5/2)LV  Ex=0.000(2d5/2)LM  Ex=0.000(2d5/2)LG  Ex=0.000(2d5/2)LP  Ex=0.000(2d5/2)QK  Ex=0.000(2d5/2)QV  Ex=0.000(2d5/2)QM  Ex=0.000(2d5/2)QG  Ex=0.000(2d5/2)QP
   0.500	           4.821300           2.421100           2.196800          13.449000           6.758800           5.160200           4.311800           2.264300          15.272000           7.472000           4.754100           4.043100           2.466500          13.297000           6.511200           4.562800           3.741600           2.118800          12.449000           6.333400           1.744200           1.278100           0.558540           7.898300           2.595000           2.925100           2.421100           1.386100           9.289200           4.171400
   1.000	           4.821900           2.423500           2.201600          13.454000           6.758500           5.162200           4.315800           2.270500          15.277000           7.472700           4.752500           4.043500           2.469200          13.296000           6.508100           4.563300           3.744100           2.123000          12.453000           6.333000           1.745000           1.280900           0.562460           7.898200           2.595800           2.925900           2.423500           1.389700           9.291600           4.171500
   1.500	           4.823000           2.427400           2.209600          13.461000           6.757900           5.165300           4.322500           2.280600          15.285000           7.473800           4.749700           4.044300           2.473700          13.293000           6.502900           4.564000           3.748100           2.130100          12.461000           6.332200           1.746500           1.285500           0.568980           7.897700           2.597200           2.927200           2.427400           1.395700           9.295500           4.171500
   2.000	           4.824300           2.432700           2.220600          13.471000           6.756800           5.169500           4.331600           2.294700          15.296000           7.475200           4.745800           4.045200           2.480000          13.289000           6.495400           4.564800           3.753600           2.139900          12.472000           6.331000           1.748400           1.291900           0.578100           7.896900           2.599000           2.928900           2.432700           1.404100           9.300600           4.171400
   2.500	           4.825600           2.439400           2.234500          13.482000           6.755100           5.174500           4.343000           2.312700          15.309000           7.476600           4.740500           4.046200           2.488000          13.284000           6.485600           4.565600           3.760300           2.152300          12.484000           6.329000           1.750900           1.300000           0.589840           7.895300           2.601300           2.930900           2.439400           1.414800           9.306700           4.171000
   3.000	           4.826900           2.447400           2.251300          13.496000           6.752500           5.180300           4.356600           2.334300          15.324000           7.477700           4.733800           4.047100           2.497500          13.276000           6.473200           4.566200           3.768200           2.167100          12.499000           6.326100           1.753900           1.309900           0.604200           7.892700           2.603800           2.933100           2.447400           1.427700           9.313300           4.170300
   3.500	           4.827800           2.456500           2.270600          13.510000           6.748700           5.186500           4.371900           2.359300          15.340000           7.478200           4.725500           4.047700           2.508500          13.265000           6.458000           4.566300           3.776900           2.184300          12.514000           6.321900           1.757200           1.321300           0.621160           7.888600           2.606500           2.935500           2.456500           1.442800           9.320000           4.169000
   4.000	           4.828100           2.466600           2.292500          13.525000           6.743200           5.192800           4.388800           2.387700          15.356000           7.477800           4.715500           4.048000           2.520900          13.252000           6.440000           4.565700           3.786300           2.203500          12.530000           6.316100           1.761000           1.334400           0.640730           7.882600           2.609200           2.937800           2.466600           1.460000           9.326300           4.166900
   4.500	           4.827500           2.477500           2.316500          13.539000           6.735900           5.198900           4.407000           2.419100          15.372000           7.476000           4.703700           4.047700           2.534500          13.234000           6.418700           4.564100           3.795900           2.224600          12.546000           6.308400           1.765000           1.348900           0.662910           7.874200           2.611800           2.940000           2.477500           1.479200           9.331600           4.163900
   5.000	           4.825600           2.489100           2.342400          13.551000           6.726100           5.204500           4.426000           2.453300          15.387000           7.472300           4.689700           4.046600           2.549200          13.211000           6.394000           4.561100           3.805500           2.247400          12.560000           6.298300           1.769300           1.364900           0.687690           7.862700           2.614200           2.941900           2.489100           1.500300           9.335300           4.159600
   5.500	           4.822100           2.501200           2.370000          13.561000           6.713600           5.209200           4.445400           2.490000          15.400000           7.466400           4.673600           4.044400           2.564900          13.184000           6.365500           4.556500           3.814700           2.271500          12.573000           6.285400           1.773800           1.382200           0.715070           7.847800           2.616200           2.943300           2.501200           1.523200           9.336600           4.154000
   6.000	           4.816800           2.513700           2.399000          13.567000           6.697800           5.212700           4.465000           2.528900          15.409000           7.457600           4.655000           4.041100           2.581400          13.150000           6.333200           4.549900           3.823200           2.296800          12.582000           6.269200           1.778500           1.400700           0.745050           7.828700           2.617700           2.944100           2.513700           1.547900           9.335000           4.146700
   6.500	           4.809100           2.526400           2.429100          13.569000           6.678200           5.214500           4.484200           2.569600          15.414000           7.445700           4.634000           4.036300           2.598500          13.109000           6.296800           4.541000           3.830600           2.322800          12.587000           6.249500           1.783400           1.420500           0.777610           7.804900           2.618500           2.944200           2.526400           1.574200           9.329700           4.137500
