            angle	Ex=1.197(1g9/2)AK	Ex=1.197(3s1/2)AK	Ex=1.197(2d5/2)AK	
              0.00          0.255880          0.626270          3.038000
              0.50          0.255950          0.623290          3.041100
              1.00          0.256150          0.614430          3.050300
              1.50          0.256500          0.599950          3.065600
              2.00          0.257030          0.580250          3.086800
              2.50          0.257760          0.555880          3.113600
              3.00          0.258720          0.527530          3.146000
              3.50          0.259980          0.496000          3.183500
              4.00          0.261580          0.462140          3.225700
              4.50          0.263590          0.426900          3.272200
              5.00          0.266080          0.391240          3.322500
              5.50          0.269130          0.356130          3.376000
              6.00          0.272840          0.322520          3.432200
              6.50          0.277290          0.291330          3.490200
              7.00          0.282600          0.263410          3.549400
              7.50          0.288870          0.239540          3.609100
              8.00          0.296230          0.220420          3.668500
              8.50          0.304800          0.206660          3.726700
              9.00          0.314720          0.198780          3.783000
              9.50          0.326110          0.197200          3.836800
             10.00          0.339130          0.202250          3.887100
             10.50          0.353920          0.214200          3.933500
             11.00          0.370620          0.233230          3.975400
             11.50          0.389390          0.259470          4.012200
             12.00          0.410370          0.293010          4.043600
             12.50          0.433700          0.333900          4.069400
             13.00          0.459540          0.382160          4.089400
             13.50          0.488010          0.437790          4.103700
             14.00          0.519230          0.500790          4.112400
             14.50          0.553330          0.571130          4.115700
             15.00          0.590400          0.648770          4.114100
             15.50          0.630530          0.733660          4.108100
             16.00          0.673790          0.825710          4.098400
             16.50          0.720220          0.924820          4.085600
             17.00          0.769860          1.030800          4.070700
             17.50          0.822710          1.143400          4.054500
             18.00          0.878740          1.262400          4.038000
             18.50          0.937920          1.387300          4.022000
             19.00          1.000200          1.517600          4.007700
             19.50          1.065400          1.652700          3.995900
             20.00          1.133500          1.791900          3.987700
             20.50          1.204300          1.934300          3.983800
             21.00          1.277600          2.078800          3.985300
             21.50          1.353300          2.224300          3.992800
             22.00          1.431200          2.369700          4.007200
             22.50          1.510900          2.513500          4.029100
             23.00          1.592300          2.654400          4.059100
             23.50          1.675100          2.790900          4.097700
             24.00          1.759100          2.921500          4.145300
             24.50          1.843900          3.044700          4.202300
             25.00          1.929300          3.159000          4.269100
             25.50          2.015000          3.263100          4.345900
             26.00          2.100800          3.355700          4.432700
             26.50          2.186300          3.435600          4.529900
             27.00          2.271200          3.502000          4.637300
             27.50          2.355400          3.553900          4.755100
             28.00          2.438600          3.590900          4.883200
             28.50          2.520500          3.612600          5.021500
             29.00          2.600900          3.619000          5.169900
             29.50          2.679700          3.610400          5.328200
             30.00          2.756600          3.587000          5.496000
             30.50          2.831400          3.549800          5.673200
             31.00          2.904000          3.499700          5.859200
             31.50          2.974400          3.437900          6.053700
             32.00          3.042300          3.365900          6.256000
             32.50          3.107600          3.285300          6.465700
             33.00          3.170400          3.198000          6.681800
             33.50          3.230500          3.105800          6.903800
             34.00          3.287900          3.010900          7.130500
             34.50          3.342600          2.915300          7.361200
             35.00          3.394500          2.821300          7.594700
             35.50          3.443800          2.730800          7.829900
             36.00          3.490400          2.646100          8.065600
             36.50          3.534300          2.569100          8.300500
             37.00          3.575700          2.501700          8.533400
             37.50          3.614600          2.445700          8.763000
             38.00          3.651000          2.402600          8.987800
             38.50          3.685200          2.373800          9.206600
             39.00          3.717100          2.360600          9.418100
             39.50          3.746900          2.363700          9.621000
             40.00          3.774700          2.384100          9.814100
             40.50          3.800700          2.422000          9.996300
             41.00          3.824900          2.477800         10.167000
             41.50          3.847500          2.551300         10.324000
             42.00          3.868700          2.642200         10.468000
             42.50          3.888500          2.750200         10.597000
             43.00          3.907100          2.874200         10.712000
             43.50          3.924600          3.013500         10.811000
             44.00          3.941100          3.166900         10.895000
             44.50          3.956800          3.332900         10.964000
             45.00          3.971800          3.510100         11.017000
             45.50          3.986100          3.696900         11.055000
             46.00          3.999900          3.891400         11.079000
             46.50          4.013100          4.091900         11.088000
             47.00          4.026000          4.296500         11.084000
             47.50          4.038500          4.503200         11.066000
             48.00          4.050600          4.710000         11.038000
             48.50          4.062500          4.915100         10.998000
             49.00          4.074000          5.116500         10.948000
             49.50          4.085300          5.312400         10.889000
